"ROCK.NAME","SIO2.WT..","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM.","AVERAGE_LAT","AVERAGE_LON"
"ADAKITE",66.83,25.64,51,5.58,3.451,21.564,0.804,2.024,0.267,1.185,0.211,540,0.083,0.461,0.07,29.5883,90.0483
"ADAKITE",65.19,22.66,46.29,5.34,19.33,3.47,0.97,2.82,0.36,1.86,0.33,0.89,0.14,0.93,0.14,41.1,95.5
"ADAKITE",55.97,18.3,40.1,4.8,18.6,3.86,1.2,3.22,0.51,2.9,0.6,1.59,0.24,1.55,0.24,35.9167,137.8667
"ADAKITE",61.02,45.35,98.27,10.73,40.4,6.32,1.71,4.94,0.7,3.1,0.5,1.51,0.24,1.53,0.21,36.15,136.5
"ADAKITE",71.19,18.98,43.28,5.56,21.02,3.45,0.753,2.188,0.313,1.426,0.25,0.654,0.096,0.552,0.0869,29.5883,90.0483
"ADAKITE",65.59,28.17,58.8,6.31,24.81,4.77,1.29,3.41,0.49,2.27,0.4,1.23,0.2,1.23,0.2,16.2,76.7
"ADAKITE",63.29,18.9472433225678,33.9136280342345,3.96363788546907,14.5579133775778,2.41033242833839,0.730096913377166,1.78611601486849,0.250297492121928,1.36007731208255,0.27201906931724,0.725199934057768,0.10771917881492,0.686909383600626,0.108962290489263,35.41231,133.47833
"ADAKITE",69.4,44.3,94.4,11.52,46.619,8.4,1.895,5.85,0.652,3.34,0.57,1.41,0.19,1.18,0.203,49.25,-85.5
"ADAKITE",70.26,26.27,46.83,5.48,19.1,2.92,0.662,1.797,0.218,0.988,0.173,0.461,0.068,0.417,0.063,29.5883,90.0483
"ADAKITE",63.73,30.18,55.62,5.9,23.25,4.6,1.38,3.68,0.56,2.64,0.45,1.43,0.21,1.34,0.21,16.125,78.75
"ADAKITE",63.62,21.6,46.7,5.64,22.4,3.67,1.06,2.59,0.27,1.13,0.19,0.52,0.06,0.38,0.052,29.48,90.87
"ADAKITE",71,14.84,27.6,2.76,9.93,1.84,0.6,1.66,0.22,0.95,0.15,0.49,0.08,0.45,0.07,15.8397,76.4353
"ADAKITE",72.93,18.36,32.54,3.08,10.86,1.84,0.59,1.53,0.2,0.83,0.16,0.43,0.07,0.42,0.06,14,78.45
"ADAKITE",65.3,33.3,71.8,9,33.8,5.9,1.6,4,0.5,2.5,0.4,1,0.1,0.9,0.2,17.85,-99.675
