"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"FOIDITE, ANALCIME-NEPHELINE [25213]",137.347479822926,245.064815187947,25.0113118049084,84.2711773501087,11.6533046365331,3.11994743186194,7.8527948696344,0.920475988886785,4.25805806276511,0.715748695246971,1.74356160375893,0.208991425908667,18.9204026871699,0.179687807079217,66.5647230204194,34.428491005674
"PHONOLITE [14464] / FOIDITE [19757]",78,155,17.52,71.1594974270455,12.8552898956679,3.85,10.79,1.51,6.55,1.11,2.22,0.25,1.32,0.15,48.1742,100.3843
"FOIDITE [13036]",152,304,34,121,18.5,5.1,13.1,1.64,8,1.48,3.7,0.5,3.1,0.42,-1.52,29.25
"FOIDITE [14732]",74.8584825234442,167.555839727195,20.0980392156863,79.2657715260017,15.0682011935209,4.54049445865303,13.5924978687127,1.73316283034953,7.77408354646206,1.24381926683717,3.0460358056266,0.347826086956522,2.09164535379369,0.279624893435635,27.9102,-15.531
"FOIDITE, ANALCIME-NEPHELINE [25213]",119.193433067405,191.168152114404,17.7672835015739,62.0884375371757,8.62599759850212,2.35890149692066,5.74523742552653,0.782500071857589,3.85210248204872,0.784199104526213,1.95875558097254,0.240215109084989,18.1023237544774,0.217096435067405,66.5567179676145,34.444676041603
"FOIDITE [24535]",78.7,147,17,68.5,12.09,3.7,10.73,1.31,6.61,1.1,2.59,0.31,1.83,0.25,26.3700166666667,117.220733333333
"FOIDITE [13059]",147.76,289.72,32.46,118.99,21.33,4.341,14.77,1.92,8.41,1.23,3.15,0.401,2.51,0.347,41.7988,12.7273
"FOIDITE [13242]",50.8,104,12.4,49.5,10,3.11,8.69,1.1,5.43,0.874,1.92,0.22,1.2,0.159,35.9253,39.27
"FOIDITE [19757]",77.7445598371304,147.012650906046,17.8623567783202,68.5571496097701,12.8247935003405,3.88292122606545,10.6648741427359,1.49477739586302,6.0928960666191,1.03719124342934,1.84300804988879,0.270249099198641,1.23527854067585,0.145756837760842,48.1742,100.3843
"FOIDITE [13036]",230,505,47,159,22,6,13.5,1.94,9.8,1.81,4.4,0.61,3.7,0.53,-1.52,29.25
"BASANITE [14732]",71.0328096118299,153.635859519409,18.6645101663586,77.6146025878004,14.0947319778189,4.28650646950092,13.0157116451017,1.65711645101664,7.21164510166359,1.13724584103512,2.76132162661738,0.30452865064695,1.79135859519408,0.232902033271719,27.9701,-15.5172
"FOIDITE [13036]",126,272,30,94,13.6,4,9.2,1.19,6.1,1.18,3.1,0.46,3,0.42,-1.52,29.25
"FOIDITE, ANALCIME-NEPHELINE [25213]",157.165678113166,290.557750751467,31.4058558773298,101.031639991832,13.4001373078637,3.45743056870841,9.47080100313672,1.18210799537503,5.32993851687796,0.995385731788817,2.62487414661766,0.334253820449989,27.7220941003936,0.309178726894186,66.5816729888319,34.3950499780476
"FOIDITE [15670]",87.1602383576134,97.8060966519767,14.8431839721904,62.0727331856459,12.8291679909734,4.14999113606621,13.9228242968907,2.05807554484177,12.563772764402,2.64795649865699,7.46104854072684,1.05968422451621,6.92534651225996,1.07240179027526,-28.6133,-173.3288
"BASALT [14732]",58.57,118.8275,14.552,58.88725,11.706,3.7135,11.13925,1.4715,6.779,1.0915,2.70975,0.307,1.869,0.2465,27.9123,-15.5284
"FOIDITE [13036]",179,336,36,121,18.2,5.1,13.9,1.8,8.8,1.6,4,0.52,3.2,0.44,-1.52,29.25
"FOIDITE [13036]",198,362,39,128,19,5.3,13.3,1.66,8.2,1.49,3.7,0.52,3.2,0.42,-1.52,29.25
"FOIDITE [15670]",49.587818427109,105.877771605428,13.14097135148,53.0386199507976,10.5897718435045,3.47023611872074,9.18262854946376,1.22453587016903,6.13165542417268,0.997341480834854,2.27583352511705,0.272473692564082,1.5949484961511,0.206848623125149,-37.5327,-169.307
"FOIDITE [13036]",101,186,23,82,13.9,3.9,10.4,1.34,6.6,1.22,3,0.41,2.5,0.35,-1.52,29.25
"FOIDITE [13036]",169,315,35,117,17.6,4.9,12.5,1.56,7.7,1.43,3.5,0.49,3,0.4,-1.52,29.25
"FOIDITE [13036]",109,200,26,91,15.2,4.3,11.6,1.43,6.7,1.18,2.8,0.37,2.2,0.3,-1.577,29.1798
"FOIDITE [13036]",179,347,39,128,19.3,5.5,14.1,1.78,8.7,1.6,3.9,0.54,3.2,0.44,-1.52,29.25
"FOIDITE [23194]",12.4,27.3,3.61,15.6,3.07,0.92,3.13,0.51,2.94,0.63,1.82,0.26,1.82,0.26,61,33
"FOIDITE [14732]",103.198675496689,210.779091769158,25.3032166508988,101.928334910123,17.7864238410596,5.28524124881741,16.2242194891202,1.93282876064333,8.22303689687796,1.23557237464522,2.90539262062441,0.300378429517502,1.73131504257332,0.214285714285714,28.1404,-15.5963
"FOIDITE [25812]",122.51009694281,237.656448824023,26.3326964906177,100.638311940448,17.5754756136807,5.09871683610147,14.0155767836847,1.82749201728216,8.83449478715014,1.47776510652116,3.50309213252421,0.424377329619007,2.31721553711479,0.307347904346746,-5.919636,-36.456146
"FOIDITE [10877]",322,582,56,191,28.6,6.2,20.3,2.57,12.3,2,4.8,0.63,3.8,0.51,40.95,15.62
"FOIDITE [12217]",81.22,152.84,17.89,67.17,12.78,4.04,11.21,1.39,6.5,0.98,2.1,0.24,1.25,0.16,48.165,100.4568
