"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"LATITE [11690] / NOT GIVEN [11285]",52.01,37.9,66.7,8.31,30.3,6,1.7,5.77,0.72,4.25,0.81,2.41,0.33,2.2,0.31,40.75,13.88
"LATITE [12478]",61.43,71.32,122.41,13.47,45.13,6.77,1.65,4.52,0.57,2.85,0.48,1.33,0.18,1.1,0.13,33.5,87.5
"LATITE [14553]",59.05,31.5,61.9,7.55,31.3,6.35,1.79,5.4,0.72,3.63,0.65,1.68,0.24,1.48,0.23,25.4358,100.3712
"LATITE [9421]",57.56,84.98,185.81,17.92,62,10.82,2.86,7.25,0.99,4.94,0.89,2.58,0.36,2.22,0.32,50.5,9.2
"LATITE [25390]",55.79,58.952583426203,106.191964797967,11.0564233868972,38.1160026205243,5.88451764287831,1.56365597863388,3.52859373401657,0.648664687227399,3.66429136807627,0.755895778379279,1.94210375738724,0.285905425415394,1.91385519245922,0.284838749064628,44,45
"LATITE [20322]",60.8,44.9,86.2,10.17,37,6.93,1.62,5.76,0.96,5.52,1.07,3.1,0.44,3.05,0.44,39.2,43
"LATITE [25390]",60.4,59.6287624586375,102.665296847376,10.6634611734461,35.6622479055812,5.8080473464007,1.7150957744246,4.12363142087346,0.704184480367042,3.9605278938503,0.763831416147398,2.11998346159348,0.315118646000486,1.97083366479206,0.317672314519707,44,45
"LATITE [14851]",54.68,66.2,136.3,16.64,64.3,10.72,2.39,9.02,1.24,6.47,1.26,3.43,0.54,3.35,0.51,39.164,29.0151
"LATITE [14546]",56.9,59.8,105,13.8,52.2,9.06,2.22,6.89,0.97,5.58,0.99,2.64,0.43,2.36,0.41,32.92,88.87
"LATITE [20322]",61.62,48.2,95.5,11.07,41.6,7.26,1.62,6.13,1.03,5.81,1.17,3.53,0.51,3.4,0.5,39.2,43
"LATITE [14851]",54.53,67.4,138.6,16.85,63.4,10.81,2.41,8.64,1.23,6.55,1.29,3.38,0.53,3.34,0.51,39.1615,29.024
