"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"TEPHRITIC-PHONOLITE [23922]",58.53,121.53,211.39,21.58,67.48,10.03,3.08,10.22,1.22,6.3,1.2,3.37,0.41,2.91,0.41,28.3,-16.6
"TEPHRITIC-PHONOLITE [12930]",49.6,146.08,231.82,23.26,77.83,12.68,3.78,9.97,1.37,6.7,1.19,3.11,0.44,2.59,0.37,28.57,-17.87
"TEPHRITIC-PHONOLITE [9723]",50.97,211.313,371.118,38.078,127.46,15.155,3.566,9.714,0.989,4.722,0.803,1.959,0.256,1.482,0.215,-22.75,-56.2667
"TEPHRITIC-PHONOLITE [13816]",56.13,264,390,39,120,16,3.6,8.2,0.98,4.5,0.75,1.8,0.28,1.7,0.31,49.5,-119.6
"TEPHRITIC-PHONOLITE [23110]",48.42,179.9,357.4,40.84,151.1,21.53,5.13,14.91,1.61,7.64,1.28,2.98,0.39,2.37,0.34,33.0167,85.25
"TEPHRITIC-PHONOLITE [15189]",44.5,43.39,87.37,11.15,167.354,12.03,3.82,13.56,1.92,9.91,2.25,5.73,0.85,4.43,0.71,40.665,79.525
"TEPHRITIC-PHONOLITE [18964]",48.76,161,308,35.7,124,18.7,4.19,13.2,1.46,6.3,1.03,2.41,0.291,1.69,0.224,50,126
"NOT GIVEN [19449] / TEPHRITIC-PHONOLITE [16974]",56.35,111.02,185.78,20.9033333333333,76.8433333333333,12.5433333333333,3.18666666666667,9.07333333333333,1.15,6.04,1.08733333333333,2.84333333333333,0.401,2.57666666666667,0.375666666666667,38.75,30.67
"TEPHRITIC-PHONOLITE [23759]",54.09,56,116,15,64,11,1.8,11,1.5,8,1.6,4.2,0.5,3.5,0.45,-28.67,17.2
"TEPHRITIC-PHONOLITE [4868]",47.54,99.4,174,17.5,60.6,10,2.89,8.29,1.25,6.92,1.35,3.86,0.56,3.62,0.52,30.3,-16.1681
