"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PANTELLERITIC RHYOLITE [17033]",72.83,50,174,14,56,13,1.7,13,2.5,16,3.6,11,1.8,12,1.8,43.1,101.085
"PANTELLERITIC RHYOLITE [13004]",67.76,206,362,37.6,141,27.7,3.5,24.9,4.44,25,5.03,15.1,2.21,13.4,2.02,36.8044,11.9289
"PANTELLERITIC RHYOLITE [18206]",70.1,132.3,264.5,30.98,116.5,23.51,3.436,21.58,3.494,21.09,4.136,11.8,1.72,11.46,1.744,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",73.77,112.1,216.5,25.55,96.36,19.23,2.578,17.64,2.919,17.83,3.528,10.09,1.475,9.669,1.449,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",70.92,100.9,205,23.83,89.26,18.49,2.385,16.23,2.722,16.09,3.183,9.083,1.362,9.075,1.381,8.35,39.18
"PANTELLERITIC RHYOLITE [18206]",71.8602829226247,130.55923919752,250.316921414072,25.9854592634843,121.479884055327,26.3601772014041,6.02409770789182,24.6,4.0383649789923,28.3380850289483,5.28591760348062,16.6752826740863,2.36030951220214,16.1115830852658,2.19767097179178,8.97,39.9
"PANTELLERITIC RHYOLITE [15775]",66.972,96.52,197.4,24.41,93.3,20.58,1.516,20.04,3.467,21.98,4.526,13.24,2.037,13.8,2.092,38.67,42.2
"PANTELLERITIC RHYOLITE [13004]",66.5,173,294,34.2,114,23.5,3.12,19.5,3.79,20.9,3.97,12.8,1.93,11.5,1.65,36.7856,12.0236
"PANTELLERITIC RHYOLITE [18206]",69.41,101.9,199,22.71,82.61,16.69,2.34,15.07,2.55,15.37,3.086,8.88,1.322,8.936,1.349,8.35,39.18
"PANTELLERITIC RHYOLITE [13004]",68.55,227,407,47,154,33.6,4.46,27.7,5.61,31.9,6.26,18.4,2.76,17.5,2.5,36.7928,11.9831
"PANTELLERITIC RHYOLITE [17345]",70.15,131.5,227.2,30.1,100.3,14.2,1.4,11.37,1.19,6.03,0.99,2.96,0.39,2.73,0.37,50,108
"PANTELLERITIC RHYOLITE [17345]",69.14,108.8,205,26.8,83.3,14.5,1.6,13.74,2.24,13.14,2.74,7.99,1.35,8.59,1.39,50,108
"PANTELLERITIC RHYOLITE [18206]",71.39,126.4,251.5,30.01,114.2,23.21,3.408,20.9,3.407,20.53,4.049,11.59,1.689,11.47,1.712,8.35,39.18
"PANTELLERITIC RHYOLITE [14188]",67.83,191,364,41.5,135,26.5,3.8,26.6,4.3,25.2,5,14.6,2.1,13,1.9,36.8,12
"PANTELLERITIC RHYOLITE [22611]",69.22,188.1,352.2,41.91,143,27.72,4.14,25.96,4.44,25.72,5.14,15.65,2.21,13.8,2.07,36.76836,11.96072
"PANTELLERITIC RHYOLITE [13004]",70.22,301,541,60.9,201,41.6,5.14,32.2,6.76,38.1,7.54,22.6,3.43,20.8,2.92,36.7858,11.9611
"OBSIDIAN [20693]",73.2993799209434,149.191964651299,310.90279062804,38.1329219618025,143.027041847317,27.241846943011,5.66867405255711,26.2287651340096,4.39085652933846,25.951597559427,5.19605567375367,14.6922890711978,2.06102695974478,13.370385091523,2.01417328994794,7.77226,38.77032
"PANTELLERITIC RHYOLITE [17033]",71.9,70,179,21,80.8,17.9,2.4,18,3.6,23,4.9,16,2.2,15,2.1,43.1,101.085
"PANTELLERITIC RHYOLITE [18206]",72.86,103.8,212,24.83,93.51,19.07,2.63,17.19,2.841,16.93,3.35,9.558,1.442,9.55,1.459,8.35,39.18
"PANTELLERITIC RHYOLITE [5444]",68.85,269.5,487.7,54.8,192.8,37.77,4.45,41.7,6.3,35.62,7.4,19.64,2.92,17.87,2.67,36.8,12
"IGNIMBRITIC TUFF [5444] / PANTELLERITIC RHYOLITE [7731]",67.98,157.2,291.3,32.28,111.4,21.56,3.14,23.3,3.46,19.32,3.98,10.65,1.61,9.96,1.51,36.78,12
"PANTELLERITIC RHYOLITE [18206]",73.27,129,264.7,30.66,114.8,23.45,2.971,20.68,3.486,21.3,4.196,11.81,1.805,12,1.794,8.35,39.18
"PANTELLERITIC RHYOLITE [13004]",69.63,274,515,58.3,187,38.9,5.04,33.8,6.3,35.9,7.05,21.8,3.13,19.9,2.88,36.8039,11.9611
"PANTELLERITIC RHYOLITE [7625]",71.7,102,220,25.8,104,22.5,4.3,21.9,3.6,23,4.3,12,1.7,11.1,1.6,8.12,39.14
"PANTELLERITIC RHYOLITE [18206]",73.29,131,267.1,31.06,115.3,23.62,2.965,20.83,3.51,21.2,4.252,12,1.83,12.11,1.822,8.35,39.18
"PANTELLERITIC RHYOLITE [13004]",65.43,119,209,23.1,87,18,3.06,15.9,2.94,15.9,3,9.4,1.4,8.37,1.3,36.8194,12
"PANTELLERITIC RHYOLITE [22611]",67.55,213.8,376,43.46,159.4,31.22,4.71,29.4,5,29.41,5.79,17.84,2.59,16.08,2.33,36.81992,11.99858
"PANTELLERITIC RHYOLITE [22611]",69.33,212.2,394.8,42.05,153.7,29.24,4.45,26.92,4.52,26.99,5.6,15.99,2.27,14.93,2.18,36.77423,11.97454
"PANTELLERITIC RHYOLITE [18206]",66.61,86.06,177.9,20.26,75.47,15.19,2.433,13.66,2.255,13.66,2.682,7.631,1.143,7.778,1.215,8.35,39.18
"PANTELLERITIC RHYOLITE [17033]",72.85,41,101,12,49,10,1.3,10,2,13,2.7,9.2,1.3,9.1,1.3,43.1,101.085
"PANTELLERITIC RHYOLITE [18543]",70.18,236,424,47.6,171,34.3,0.3,30,4.6,27.3,5.2,13.5,1.8,12.4,1.6,42,128.05
"PANTELLERITIC RHYOLITE [22406]",70.18,236,424,47.6,33,169,0.3,30,4.6,27.3,5.2,13.5,1.8,12.4,1.6,42,128
