"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"WEHRLITE [26347]",37.2,2.91,6.71,0.98,4.63,1.09,0.38,1.15,0.18,1.05,0.2,0.52,0.07,0.41,0.06,22.1547,99.6045
"WEHRLITE [13590]",46.5,4.5,11.8,1.9,8.4,2.3,0.8,3.1,0.5,2.4,0.5,1.2,0.2,1,0.2,64.2728,29.0764
"WEHRLITE [22196]",40.78,0.38,0.85,0.17,1.04,0.36,0.09,0.42,0.07,0.43,0.09,0.25,0.04,0.19,0.03,42.5,95.8
"WEHRLITE, XENOLITH [10399]",41,0.81,2.1,0.29,1.36,0.41,0.14,0.54,0.1,0.62,0.13,0.39,0.05,0.35,0.05,-1.25,-90.4
"WEHRLITE, XENOLITH [22320]",40.1,3.1,7.61,1.09,5.49,1.39,0.52,1.55,0.28,1.32,0.24,0.58,0.08,0.44,0.06,36.59,118.81
"WEHRLITE, SPINEL, XENOLITH [14820]",41.5,1.77,2.87,0.335,1.37,0.259,0.079,0.222,0.027,0.129,0.019,0.04,0.004,0.026,0.004,66.43485,112.31798
"WEHRLITE, XENOLITH [13760]",41.2,2.94,6.6,0.859,4.2,1.16,0.409,1.34,0.195,1.1,0.197,0.481,0.058,0.343,0.047,36.55,118.75
"WEHRLITE, XENOLITH [22320]",42.6,2.53,6.14,0.86,4.58,1.33,0.47,1.53,0.29,1.69,0.27,0.74,0.09,0.53,0.07,36.59,118.81
"WEHRLITE, XENOLITH [10399]",43.57,0.167,0.601,0.101,0.577,0.23,0.084,0.293,0.055,0.323,0.066,0.174,0.025,0.15,0.023,-1.2668,-90.3698
"WEHRLITE, XENOLITH [13859]",41.46,2.58,7.69,1.19,5.39,1.31,0.45,1.25,0.16,0.72,0.11,0.26,0.03,0.16,0.02,-48.57,-70.17
"WEHRLITE, MICA, XENOLITH [17331]",43.17,4.47,10,1.34,6.4,1.51,0.4,1.36,0.17,1,0.176,0.46,0.065,0.39,0.062,47.965,-109.535
"WEHRLITE [28611]",45.38,0.14,0.28,0.04,0.24,0.1,0.05,0.18,0.04,0.25,0.06,0.19,0.03,0.21,0.04,41.53,94.82
