"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"IZU-BONIN-MARIANA ARC / CHAIFE SEAMOUNT / DREDGE D14","BASALT [20498] / ANKARAMITE [9563]",4.7,9.33,1.31,6.49,1.89,0.662,1.9,0.33,1.94,0.38,1.14,0.164,1.04,0.153,14.6617,145.0003
"IZU-BONIN-MARIANA ARC / CHAIFE SEAMOUNT / DREDGE D14","BASALT [20498] / ANKARAMITE [9563]",4.94,9.75,1.38,6.71,1.93,0.711,2.06,0.34,2.02,0.41,1.21,0.175,1.09,0.157,14.6617,145.0003
"JAN MAYEN / JAN MAYEN","BASALT [13291] / ANKARAMITE [1321]",27.8,56.7,6.41,25.3,4.53,1.49,3.88,0.56,3.1,0.56,1.48,0.21,1.26,0.19,71.03,-8.43
"CROZET ISLANDS / ILE DE L^EST","BASALT [20510] / ANKARAMITE [970]",32.5,68.5,8.54,34.96,7.55,2.43,6.73,1,5.41,0.97,2.3,0.3,1.7,0.25,-46.5,52.15
"WAKE SEAMOUNT GROUP / MALONEY GUYOT","ALKALI BASALT [12822] / ANKARAMITE [12924]",8.8,20.5,2.6,11.7,2.9,1.11,9.62,1.7,8.29,1.75,4.5,0.6,0.05,0.15,21.05,157.15
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE / BEITASHAN FORMATION","ANKARAMITE [13567]",3.61,7.53,1.16,5.511,1.498,0.47,1.64,0.29,1.9,0.4,1.16,0.18,1.19,0.19,46.5,91
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE / BEITASHAN FORMATION","ANKARAMITE [13567]",3.73,8.17,1.27,6.257,1.811,0.52,1.94,0.34,2.19,0.46,1.31,0.2,1.3,0.2,46.5,91
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE / BEITASHAN FORMATION","ANKARAMITE [13567]",5.56,10.68,1.49,6.646,1.733,0.46,1.74,0.31,1.95,0.39,1.12,0.18,1.18,0.19,46.5,91
"BATHYMETRISTS (GRIMALDI) SEAMOUNT CHAIN / CARTER / SITE 2304","NEPHELINITE [13188] / ANKARAMITE [15812]",125,225,24.6,82.57,12.91,3.8,11.1,1.44,6.71,1.21,3.15,0.42,2.69,0.37,9.2151,-21.28
"CANARY ISLANDS / EL HIERRO / SHIELD STAGE / PLATFORM-FORMING ERUPTION","ANKARAMITE [15056]",31.3,68.8,9.76,44.4,9.44,2.84,8.29,1.12,5.5,0.95,2.15,0.29,1.62,0.24,27.8,-18
"CANARY ISLANDS / EL HIERRO / TINOR UNIT / SHIELD STAGE","ANKARAMITE [15056]",77.5147116516281,157.28717143978,18.0600235386426,65.2687328364064,10.3839741074931,2.95066692820714,8.41016084739113,1.12789329148686,5.58944684189878,0.975872891329933,2.2866810513927,0.313848568065908,1.84042761867399,0.268732836406434,27.8,-18
"CANARY ISLANDS / EL HIERRO / CLIFF-FORMING ERUPTION / SHIELD STAGE","ANKARAMITE [15056]",41.8660427025446,89.3204640733158,12.0181339572975,51.9459881056839,10.3646290338306,3.10909622696695,8.91488739397485,1.23915374865945,6.01101686653018,1.03929024081115,2.36472652822463,0.312957004972214,1.80462123427903,0.261284976113874,27.8,-18
"CANARY ISLANDS / EL HIERRO / CLIFF-FORMING ERUPTION / SHIELD STAGE","ANKARAMITE [15056]",40.1989976415094,84.7969259824089,11.4477341644205,49.4922794899986,9.99385920579751,2.98195961602119,8.53323535844328,1.16036553648272,5.7223745537192,0.982593571192131,2.20612557336738,0.288638754906133,1.65520818555824,0.24251888565754,27.8,-18
"CANARY ISLANDS / EL HIERRO / SHIELD STAGE / UPPER EL GOLFO UNIT","ANKARAMITE [15056]",20.4094435955305,44.4085618493197,5.71446529133586,25.8717636994902,5.93645841619411,1.87567613968976,5.47079531462971,0.77857466471349,4.14272507325153,0.745839654389347,1.89382580624554,0.261559648772522,1.43981870626343,0.202658774983461,27.8,-18
"CANARY ISLANDS / EL HIERRO / SHIELD STAGE / PLATFORM-FORMING ERUPTION","ANKARAMITE [15056]",45.2740332578963,97.8598838925514,13.5343894519335,59.0799960641543,11.6988094066713,3.47928761192561,9.91636327855948,1.35688281019384,6.75391124667913,1.19157729017023,2.78461084325494,0.383744957197678,2.2473679031782,0.33061104004723,27.8,-18
"CANARY ISLANDS / LA PALMA / GARAFIA / SHIELD STAGE","ANKARAMITE [15056]",26.2526381057118,56.9987988290684,7.88520132237975,34.6327023051776,7.17597501124781,2.20932922797444,6.48184871367158,0.912524994595361,4.64820008241235,0.838488411920841,1.98158441745476,0.271983682213123,1.59618196404874,0.241312310239388,27.8,-18
"CANARY ISLANDS / LA PALMA / GARAFIA / SHIELD STAGE","ANKARAMITE [15056]",60.5165003671674,124.501378472792,15.7117109806495,60.4603575715911,10.3419274434211,2.94615431187357,9.01996397983444,1.1634005041391,5.93822945229558,1.10704434132508,2.552243773778,0.363533927832072,2.10802949252775,0.321122770629731,27.8,-18
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / LOWER TABURIENTE SERIES","BASANITE [15056]",51.5195143689162,105.620658965017,14.2296044456495,59.8917567259111,11.3860076249239,3.36959792624817,9.92926833203634,1.30775083249866,6.69694837182522,1.2045396155178,2.79160070257889,0.380942564616034,2.22055259880735,0.334903270160132,28.6,-17.9
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / LOWER TABURIENTE SERIES","BASANITE [15056]",44.7982482186358,90.2876227293921,11.9953684529614,50.2622342258111,9.77592346068581,2.88569320725913,8.42550415682092,1.12691141327042,5.67007691549157,1.00087324283163,2.25112697995303,0.308705219369848,1.7580919224125,0.258870481762702,28.6,-17.9
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / LOWER TABURIENTE SERIES","ANKARAMITE [15056]",44.7016785413361,90.4764948576615,12.0402648825504,50.1441299986393,9.54587724748983,2.79272719228921,8.60854439946616,1.1076721156753,5.58957884639748,1.01490477138496,2.25495971058384,0.306208008816012,1.73549751949115,0.261704040202945,28.6,-17.9
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / UPPER TABURIENTE SERIES","ANKARAMITE [15056]",31.2081645393008,60.3920871959293,8.32378313362793,35.3523659527208,6.99166971509276,2.09536247293684,6.66804697278448,0.894711661882424,4.60172438744223,0.868266286383886,2.0096323983375,0.285946135985933,1.64086119544532,0.257596610820171,28.6,-17.9
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / UPPER TABURIENTE SERIES","ANKARAMITE [15056]",27.431834725266,56.0717826023078,7.36320404063786,30.6754964496215,6.24393973274998,1.93614332944109,5.97078251974899,0.842448393745735,4.42141954810474,0.806733758964841,1.95091047194785,0.28572947529752,1.61420935111771,0.240269667415277,28.6,-17.9
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199]",38.4,79.4,9.15,38.4,7.8,2.41,7.08,1.07,5.57,1.022,2.65,0.34,2.08,0.294,-21.93,-157.93
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199]",25.1,54.1,6.47,28.3,5.99,1.85,5.53,0.843,4.25,0.798,2.01,0.244,1.55,0.208,-21.93,-157.93
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199]",27.9,58.7,6.93,29.7,6.14,1.84,5.57,0.847,4.33,0.806,2.04,0.267,1.6,0.226,-21.93,-157.93
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199]",34.2,71.2,8.45,36,7.47,2.17,6.52,1.004,5.08,0.932,2.31,0.29,1.82,0.259,-21.93,-157.93
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199] / NOT GIVEN [17353]",26,54.5,6.45,27.8,5.71,1.74,5.85,0.882,4.58,0.943,2.33,0.26,1.52,0.218,-21.93,-157.93
"AUSTRAL-COOK ISLANDS / MANGAIA","ANKARAMITE [1199]",30.6,64.3,7.56,32.7,6.83,2.09,5.92,0.919,4.68,0.849,2.16,0.261,1.67,0.24,-21.93,-157.93
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","ANKARAMITE [12763]",56.7,104,11.5,41.9,7.46,2.26,6.2,0.9,4.6,0.83,2.13,0.28,1.73,0.25,51.083,14.917
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE / BEITASHAN FORMATION","ANKARAMITE [12562]",2.8,6.89,1.08,5.34,1.73,0.6,2.02,0.33,2.18,0.44,1.29,0.19,1.22,0.18,46.3,90
