"LATITUDE.MIN","LONGITUDE.MIN","ROCK.NAME","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM."
32.5978,118.5345,"BASANITE [20548]",52.8,103,11.3,46.4,10.3,3.31,8.68,1.24,6.53,1.05,2.42,0.3,1.6,0.21
32.4618,118.9323,"BASANITE [20548]",56.2,96.46,11.79,47.28,9.34,2.92,8.51,1.21,5.91,1.01,2.25,0.31,1.73,0.25
32.4618,118.9322,"BASANITE [20548]",50.55,93.07,10.58,41.96,8.43,2.87,8.05,1.08,5.63,0.92,2.28,0.27,1.47,0.19
-53.12,73.5,"BASANITE [1007] / BASALT [23527]",43.9657059684657,96.4218542143003,12.1738021280481,53.3566704427325,10.8230286291949,3.50108938132915,9.32,1.24805860931851,6.48364385116179,1.0488099661992,2.61343698538491,0.307120784644808,1.6558055081214,0.213900547225334
51,10,"BASANITE [20135]",81.9,156,18.2,66.9,11.6,3.3,8.7,1.2,6,1,2.5,0.4,1.9,0.3
51,10,"BASANITE [20135]",97.6,188,21.5,80,13.5,3.8,10.5,1.4,7.1,1.3,3.11,0.4,2.3,0.3
28.9883,-13.6894,"BASANITE [6665] / NOT GIVEN [15508]",54.9,116,14.9,58.2,11,3.26,9.05,1.2,5.94,0.99,2.45,0.29,1.71,0.22
28.0261,-15.4333,"NOT GIVEN [6665] / BASANITE [15508]",73.3,156,18.36,71.3,12.5,3.67,10.71,1.32,6.27,1.05,2.61,0.3,1.88,0.25
28.6422,-18.155,"BASANITE [6665] / NOT GIVEN [15508]",51.3,106,13.44,52,10.1,3.03,8.54,1.16,6.01,1.05,2.65,0.33,2,0.27
28.3,-16.6,"BASANITE [20707]",64.5,127,15.95,65.8,12.7,3.83,10.05,1.5,7.3,1.28,3.29,0.34,2.65,0.33
28.3,-16.6,"BASANITE [20707]",62.6,126,15.9,63.8,11.65,3.7,9.87,1.44,7.2,1.26,3.05,0.34,2.45,0.34
28.3,-16.6,"BASANITE [20707]",62.7,124,15.7,65.5,12.15,3.77,11.1,1.34,7.23,1.29,3.28,0.4,2.5,0.34
28.3,-16.6,"BASANITE [20707]",66.4,131,16.3,66.4,12.9,3.76,10.9,1.55,7.29,1.29,3.47,0.38,2.18,0.36
28.3,-16.6,"BASANITE [20707]",66.1,135,16.45,68.9,13.1,3.94,11.3,1.43,7.76,1.34,3.1,0.42,2.54,0.36
28.3,-16.6,"BASANITE [20707]",58.6,112,13.8,53.9,11.4,3.43,8.88,1.19,6.58,1.09,2.82,0.33,2.03,0.31
28.3,-16.6,"BASANITE [20707]",60.3,128,14.95,62.7,11.85,3.92,10.2,1.38,7.45,1.24,3,0.43,2.16,0.32
28.3,-16.6,"BASANITE [20707]",57,120,14,60.6,11.45,3.6,9.53,1.24,6.89,1.21,2.89,0.4,2.22,0.26
28.3,-16.6,"BASANITE [20707]",58.8,120,13.55,57.4,11,3.57,8.95,1.31,6.74,1.15,2.91,0.37,2.12,0.28
28.3,-16.6,"BASANITE [20707]",57.4,116,12.8,54.1,11.5,3.56,9.28,1.27,6.51,1.13,2.73,0.36,2.04,0.3
29.0628,118.9812,"BASANITE [20751]",93,166,19,74,14,4.3,12,1.55,7.7,1.2,2.9,0.33,1.8,0.22
29.0628,118.9812,"BASANITE [20751]",79,144,16,65,13,3.9,11,1.4,6.9,1.1,2.6,0.29,1.6,0.21
29.0628,118.9812,"BASANITE [20751]",81,147,17,68,13,4,11,1.42,6.9,1.1,2.5,0.27,1.5,0.19
29.0628,118.9812,"BASANITE [20751]",86,156,17,69,13,4,11,1.47,7.2,1.2,2.7,0.31,1.7,0.21
29.0628,118.9812,"BASANITE [20751]",96,171,19,76,15,4.4,12,1.63,8,1.3,3,0.34,1.9,0.23
29.0628,118.9812,"BASANITE [20751]",72,141,16,61,12,3.8,11,1.35,6.5,1.1,2.4,0.25,1.5,0.18
29.0628,118.9812,"BASANITE [20751]",73,142,16,59,12,3.6,10,1.35,6.5,1.1,2.3,0.25,1.4,0.2
29.0628,118.9812,"BASANITE [20751]",75,143,16,59,11,3.7,10,1.39,6.9,1.2,2.7,0.32,1.7,0.22
29.0628,118.9812,"BASANITE [20751]",80,151,17,60,13,3.7,10,1.4,6.9,1.2,2.7,0.3,1.7,0.22
29.0628,118.9812,"BASANITE [20751]",71,137,16,59,12,3.7,10,1.25,6.5,1.1,2.2,0.25,1.5,0.18
29.0628,118.9812,"BASANITE [20751]",72,138,15,56,12,3.5,10,1.29,6.6,1.1,2.3,0.29,1.7,0.2
29.0628,118.9812,"BASANITE [20751]",89,161,17,65,13,3.9,11,1.41,6.8,1.1,2.5,0.3,1.7,0.22
29.0628,118.9812,"BASANITE [20751]",75,143,16,58,12,3.5,10,1.31,6.5,1.1,2.4,0.28,1.5,0.2
29.0628,118.9812,"BASANITE [20751]",31,60,7,32,8,2.7,7,1.06,5.6,1,2.3,0.29,1.6,0.21
29.0628,118.9812,"BASANITE [20751]",31,62,8,33,8,2.7,7,1.07,5.7,1,2.3,0.29,1.6,0.21
29.0628,118.9812,"BASANITE [20751]",32,62,8,34,8,2.8,8,1.09,5.7,1,2.4,0.29,1.6,0.21
29.0628,118.9812,"BASANITE [20751]",38,74,9,39,9,2.9,8,1.19,6.1,1,2.5,0.31,1.7,0.22
11.007,107.1501,"BASANITE [20781]",61.5,114,12.8,51.2,11,3.34,9.8,1.4,7.5,1.3,3.4,0.43,2.6,0.37
11.007,107.1501,"BASANITE [20781]",60.8,112,12.8,50.6,10.5,3.32,10,1.4,7.4,1.3,3.6,0.45,2.5,0.35
11.007,107.1501,"BASANITE [20781]",61.3,112,13,52.1,11,3.34,9.9,1.5,7.8,1.4,3.5,0.43,2.5,0.38
11.007,107.1501,"BASANITE [20781]",60.2,111,12.8,51,10.6,3.33,9.6,1.4,7.7,1.4,3.4,0.43,2.5,0.37
11.007,107.1501,"BASANITE [20781]",63.3,117,13.2,54.4,11.2,3.43,10.1,1.5,7.7,1.4,3.4,0.42,2.5,0.37
11.007,107.1501,"BASANITE [20781]",61.4,113,12.9,50.8,10.6,3.34,9.9,1.4,7.8,1.3,3.4,0.44,2.4,0.35
11.007,107.1501,"BASANITE [20781]",60,110,12.7,51.3,10.7,3.35,9.8,1.4,7.4,1.3,3.5,0.44,2.6,0.36
11.007,107.1501,"BASANITE [20781]",61.7,113,12.9,53,10.5,3.36,10.1,1.4,7.5,1.4,3.5,0.45,2.4,0.35
11.007,107.1501,"BASANITE [20781]",63.9,116,13.4,54.4,10.9,3.45,10.3,1.5,7.9,1.4,3.6,0.46,2.7,0.39
49.6549,124.0011,"BASANITE [20923]",65.8794473712028,113.852803314544,12.8290266555512,49.1428918057889,8.62278522942892,2.57694392422163,7.33695816178914,0.855334690224473,4.21312056649042,0.68742195316055,1.69226152664346,0.204815824965571,1.15648195243688,0.150213926133268
50.273,13,"BASANITE [21063]",89,183.5,21.02,78.8,13.02,3.67,9.92,1.22,6.43,1.1,2.8,0.34,2.18,0.29
50.2778,13.014,"BASANITE [21063]",61.6,130.2,15.5,59.7,10.2,2.89,7.79,0.95,4.93,0.82,2,0.24,1.5,0.2
50.2778,13.014,"BASANITE [21063]",71.6,149.5,17.4,65.5,10.9,3.11,8.31,1.03,5.42,0.91,2.3,0.28,1.77,0.23
28.52,-17.82,"BASALT [27087] / BASANITE [916]",87.1550202376119,161.243960724593,19.9198049497285,75.8563125926643,13.506965180146,3.94614822641569,11.4614550547443,1.49418099120292,7.42898206720636,1.29171031501232,3.09745209243219,0.414576363212466,2.3609052456021,0.327247973359756
28.75,-19,"BASANITE [916] / BASALT [27087]",27,60,8.44315447107323,29,7.03710296123333,2.15053401900752,6.57207847542272,0.905925078351753,4.61321468888961,0.816524229989541,1.96800247677117,0.259778737953202,1.4749537865924,0.204950407737216
28.75,-19,"BASANITE [916] / BASALT [27087]",30,79,10.0759975212059,39,8.4070963816315,2.58843371203615,7.52801947409074,1.04184808203906,5.35482574094758,0.96324981293025,2.41791768360652,0.32901347600388,1.9169624576298,0.269459775807812
28.75,-19,"BASANITE [916] / BASALT [27087]",33,87,11.4894170912896,45,9.65758807666253,2.97692071494866,8.63091553995551,1.16031222646938,5.69967832103765,0.99047984195992,2.37126486027105,0.312644292858844,1.7331554542361,0.233973034267693
28.75,-19,"BASANITE [916] / BASALT [27087]",47,113,14.5515294765189,52,10.6779385200959,3.20565852753527,9.33717084377036,1.26144761262822,6.43438249237801,1.15585398002039,2.84631218303418,0.389340273544216,2.2582527462654,0.322536977798117
