"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"HARZBURGITE, SPINEL, XENOLITH [915]",43.58,1.18,2.26,0.21,0.65,0.13,0.04,0.16,0.024,0.133,0.027,0.071,0.012,0.08,0.012,28.53,-17.8
"HARZBURGITE, XENOLITH [14168] / HARZBURGITE, SPINEL, XENOLITH [15612]",45.25,0.005,0.014,0.0018,0.008,0.0027,6e-04,0.0029,7e-04,0.0065,0.0021,0.0101,0.0025,0.025,0.0053,53.256,158.836
"HARZBURGITE, XENOLITH [17333]",42.64,0.66,1.5,0.16,0.64,0.12,0.04,0.16,0.02,0.12,0.02,0.11,0.02,0.13,2,40,10
"HARZBURGITE, XENOLITH [17095]",43.95,0.06,0.17,0.03,0.12,0.04,0.02,0.07,0.01,0.1,0.03,0.08,0.01,0.09,0.02,37.53,121.4
"HARZBURGITE [7709]",44.31,8.8,17.2,2.3,9.8,3.3,0.5,3.3,0.5,3.9,0.9,3.6,0.9,9.7,2.4,54.82,-125.17
"HARZBURGITE, XENOLITH [22252]",44.9874577230589,0.694103183793186,0.551589190924895,0.466791512352783,0.403511920986603,0.335434882145372,0.32077253937936,0.335444292928608,0.361635569357976,0.37232377097489,0.391537910949419,0.41561022028352,0.421628190197466,0.490140297536721,0.585513506717785,-49.2,-70
"HARZBURGITE, SPINEL, XENOLITH [19627]",42.8681918726545,4.82608517548151,7.45654260982273,0.715710245069574,2.39839257480677,0.303679926005623,0.092603684821632,0.203730668357845,0.0253149562108995,0.123072342825596,0.0183656868924669,0.0447650134349881,0.00477847694062761,0.0282160545089617,0.00429758010824256,66.43485,112.31798
"HARZBURGITE, SPINEL, XENOLITH [20779]",43.4277604908371,0.287121630992697,0.631863196530665,0.0753017412404581,0.312670628355256,0.0614646441384542,0.0209037993927668,0.0579043027501035,0.0102655812057712,0.0456389494583907,0.00905215315546914,0.0249415117350641,0.00399171438609589,0.0243398679732885,0.00404957405770155,-49,69
"HARZBURGITE [24795]",38.3,1.55,3.79,0.543,2.56,0.706,0.251,0.826,0.139,0.865,0.186,0.508,0.0775,0.493,0.0776,36.5,93
"LHERZOLITE, XENOLITH [13328] / HARZBURGITE, XENOLITH [15032]",45.02,0.15,0.34,0.04,0.19,0.06,0.03,0.09,0.02,0.11,0.03,0.09,0.02,0.1,0.02,37.65,-1.15
"HARZBURGITE, XENOLITH [19159]",45,0.38,0.44,0.09,0.75,0.24,0.07,0.39,0.05,0.42,0.09,0.3,0.04,0.31,0.05,36.97,7.79
"HARZBURGITE, GARNET, XENOLITH [19627]",42.6166045136735,0.689964483758331,1.17681702781363,0.131421857320451,0.522158081942367,0.086189487645651,0.0353014413277847,0.0775169855295856,0.0106419537689984,0.0625357426773731,0.0111607751124618,0.0304222792588449,0.0054480152625988,0.0442342476013425,0.00967806361142473,66.43485,112.31798
"HARZBURGITE, SPINEL, XENOLITH [915]",39.64,1.01,1.73,0.15,0.41,0.06,0.02,0.09,0.007,0.038,0.007,0.021,0.004,0.031,0.006,28.53,-17.8
"LHERZOLITE, CHROMITE, XENOLITH [9638] / HARZBURGITE, CHROMITE, XENOLITH [17406]",40.47,2.31,4.58,0.54,2,0.35,0.1,0.28,0.04,0.17,0.03,0.07,0.01,0.05,0.006,-3,37.3
