"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"PYROXENITE, XENOLITH [14581]",46.16,2.05,3.77,0.5,2.01,0.53,0.25,0.58,0.11,0.65,0.15,0.4,0.05,0.36,0.04,43.73,127.34
"PYROXENITE [15247]",43.96,5.38,15.5,2.52,14.7,5.19,1.7,3.95,0.6,3.74,0.6,1.33,0.15,0.99,0.13,28.375,-14.135
"PYROXENITE [27168]",48,137,294,37.8,156,23.4,6.17,17.1,1.67,7.81,1.25,2.83,0.33,2.03,0.3,41,115
"PYROXENITE [24526]",44.0339016475921,2.32,4.67,0.66,3.23,0.84,0.14,0.93,0.15,0.98,0.22,0.69,0.09,0.61,0.09,65.5,28
"PYROXENITE, PHLOGOPITE [13989]",36.87,271,509,52.5,183,24.9,6.66,16.7,1.79,7.04,1.13,2.9,0.37,2.36,0.3,25.46,105.67
"PYROXENITE [15247]",42.37,14.22,33.3,4.93,26.5,7.16,2.3,5.97,0.78,4.58,0.69,1.76,0.17,1.21,0.15,28.375,-14.135
"PYROXENITE, XENOLITH [12232]",48.95,19.3,27.3,1.89,4.98,0.8,0.28,1.07,0.21,1.28,0.3,0.9,0.147,0.94,0.139,73.47,-90.97
"PYROXENITE [27105]",51.84616586,0.843175866125834,2.38716295763544,0.305681612247814,1.26437546564075,0.367028298865282,0.169955626825005,0.558555491070335,0.126133576429678,0.904538230723014,0.243688574592423,0.732370229020624,0.120134583968356,0.838493949716665,0.140267598841379,64.99908,-51.7635
"PYROXENITE [23644]",51.81,20.6,49,5.79,23.7,5.97,1.44,5.43,0.8,4.45,0.87,2.51,0.364,2.16,0.3,64.5,-116.7
"PYROXENITE [19975]",59.9,9.4,15.7,2.49,9.2,2.37,0.73,2.61,0.43,2.98,0.56,1.63,0.24,1.55,0.22,-21.5,-57.5
"PYROXENITE [23309]",53.9186740303967,2.89448804089721,6.24711815448523,0.706477558936354,2.76942343465617,0.620777137041363,0.188594087921287,0.572980575273437,0.140584537219698,0.742959238046007,0.194071468776685,0.681303470053414,0.145131965565209,0.545019583398311,0.0789001809005828,-24.6419,30.1371
"PYROXENITE, HORNBLENDE [21437]",52.03,2.65,7.87,1.03,4.89,1.42,0.374,1.59,0.28,1.76,0.37,1.08,0.16,1.01,0.155,-33,-66
"PYROXENITE, HORNBLENDE [16435]",42.49,0.34,1.02,0.28,1.96,1.029,0.571,1.67,0.27,1.66,0.306,0.741,0.096,0.55,0.082,35.0717,72.9615
"PYROXENITE, HORNBLENDE [21437]",51.64,2.02,6.36,0.93,5.07,1.63,0.43,1.97,0.35,2.11,0.44,1.29,0.19,1.16,0.168,-33,-66
"PYROXENITE [23474]",59.71,9.3,20.1,2.23,9,1.79,0.7,1.78,0.27,1.66,0.34,0.99,0.14,0.97,0.15,6.25,-2.25
"PYROXENITE [23284]",50.3,3.7,10.6,1.78,7.8,2.12,0.58,1.95,0.29,1.64,0.34,0.92,0.1,0.89,0.16,-10,38
"PYROXENITE [26910]",42.83,23.3,52.8,6.8,26.4,4.9,1.1,3.5,0.5,1.5,0.4,0.83,0.1,0.62,0.094,51,38
"PYROXENITE, OLIVINE [21617]",47.59,1.57,3.44,0.56,2.66,0.79,0.26,1.01,0.17,1,0.19,0.54,0.07,0.44,0.06,67.6981,26.9658
"PYROXENITE [26910]",37.01,26.7,46.7,5.3,20.7,4,1.1,3.5,0.4,1.96,0.33,0.78,0.08,0.5,0.08,51,38
"PYROXENITE [24648]",47.7,3.96280834879679,12.8292878604948,2.35874743324288,11.9440339363225,2.96921745269574,0.788469928716366,2.5894320929489,0.366954698481607,1.96895454554604,0.348224058873393,0.908398641258048,0.127280237687476,0.756432613369677,0.107182390276038,40.5,114.5
"PYROXENITE, XENOLITH [17026]",47.42,6.51,14,1.86,9.34,2.73,0.83,3.15,0.53,3.45,0.73,2.06,0.28,1.78,0.26,33,117.5
"PYROXENITE, OLIVINE [10277]",38.1,0.87,2.32,0.351,1.83,0.62,0.192,0.822,0.149,1.002,0.228,0.68,0.095,0.64,0.096,61.5,-73.7
"PYROXENITE [23284]",49.88,2.1,4.3,0.63,3,0.69,0.13,1.02,0.15,0.84,0.17,0.59,0.09,0.62,0.1,-10,38
"PYROXENITE [18969]",51.58,7,13.6,1.6,6.1,1.3,0.35,1.3,0.2,1.4,0.3,0.9,0.16,1.1,0.19,25.56,92.125
"PYROXENITE [26260]",48.34,0.561,1.399,0.2364,1.289,0.457,0.2394,0.6368,0.1156,0.834,0.1779,0.534082,0.07878,0.5529,0.08179,-9.74289,160.033895
"PYROXENITE [10277]",54.3,2.23,5.34,0.786,4.04,1.24,0.36,1.684,0.307,2.086,0.459,1.373,0.203,1.31,0.192,61.57,-73.25
"PYROXENITE, OLIVINE [23284]",44.04,0.8,1.7,0.36,1.3,0.49,0.2,0.42,0.18,0.49,0.2,0.42,0.05,0.37,0.11,-10,38
"PYROXENITE [21817]",37.94,101.863439122404,237.370174163719,29.508805997894,125,24.3,2.6248989377142,20.3459893663997,2.63764823786087,15.810626329669,2.81543781771652,8.19222896161482,1.12952686722968,7.10080392134806,1.04009584645892,41.5925,113.1744
"PYROXENITE [23258]",26.22,1.55,3,0.34,1.39,0.26,0.15,0.27,0.05,0.29,0.06,0.2,0.03,0.22,0.04,-25.75,28.2
"PYROXENITE, HORNBLENDE [26371]",50.52,3.01,8.57,1.25,5.81,1.78,0.49,2.38,0.4,2.68,0.58,1.7,0.25,1.56,0.23,37,104
"PYROXENITE, OLIVINE [23212]",43.34,1.05,2.33,0.36,1.57,1.26,0.22,0.44,0.11,0.38,0.1,0.24,0.05,0.25,0.02,36.8896,98.7004
"PYROXENITE [26910]",42.73,63.7,122,14.2,50.8,8.3,2.2,6.6,0.75,3.75,0.56,1.37,0.14,0.92,0.2,51,38
"PYROXENITE, OLIVINE [10277]",39.85,1.7,4.35,0.665,3.48,1.05,0.268,1.392,0.252,1.652,0.362,1.065,0.156,1.02,0.157,61.5,-73.7
"PYROXENITE [18969]",53.81,8.2,17.6,2.14,8.1,1.8,0.43,1.7,0.3,1.7,0.3,1,0.19,1.4,0.24,25.56,92.125
"PYROXENITE, PLAGIOCLASE-OLIVINE [13958]",42.99,8.92,19.1,2.89,12.5,3.24,1.17,3.2,0.45,2.45,0.45,1.19,0.16,0.92,0.13,26.5,101.7
"PYROXENITE, GARNET [18701]",45.39,3.255,7.265,0.916,3.645,1.488,0.602,2.429,0.466,3.166,0.661,1.925,0.271,1.64,0.246,40.5,114.5
"PYROXENITE, XENOLITH [18996]",45.94,7.84,12.21,2.64,13.66,4.18,1.52,4.56,0.67,3.66,0.66,1.55,0.18,0.95,0.125,10.56,13.52
"PYROXENITE [26910]",45.35,44.1,115,15.9,67.3,12.4,3.26,9.75,1.25,5.2,0.75,1.51,0.16,0.94,0.12,51,38
"PYROXENITE, OLIVINE [19201]",44.62,4.1978,13.78,2.4162,12.5014,3.6191,1.2243,3.8454,0.5741,3.181,0.5895,1.4314,0.1864,1.07,0.1456,-78.3984,163.8279
"PYROXENITE, OLIVINE [23305]",49.8344069062366,3.64721317233809,5.98123995127893,0.703825278810409,2.66423333333333,0.580338813857898,0.188535344827586,0.601905579399142,0.109846511627907,0.70899545683998,0.140406646058733,0.460175531914894,0.0773109243697479,0.483505720823799,0.0756716417910448,0.75,10.25
