"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MELILITITE [22536]",121,233,28.4,108,17.4,5.17,13.8,1.65,7.87,1.18,2.59,0.32,1.65,0.21,34,105
"ANDEAN BASINS / ARGENTINA / SALTA RIFT","MELILITITE [11135]",156.5222,334.005,38.5442,149.3069,25.0614,6.8631,17.8393,2.0722,9.0933,1.3286,2.8232,0.2755,1.5305,0.211,-23.103,-64.779
"MADAGASCAR / MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA","MELILITITE, OLIVINE [15764]",100,186,20.9,76.5,13.2,4.22,10.5,1.4,6.6,1.1,2.6,0.31,1.7,0.23,-17.5749,48.2213
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / SAN VENANZO (VULSINI VOLCANIC DISTRICT)","MELILITITE, LEUCITE-OLIVINE [24137]",83.3,187,23.2,90.4,17.6,3.31,12,1.5,7.7,1.2,3.1,0.39,2.2,0.32,42.95,13.63
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / SPAIN / CALATRAVA VOLCANIC PROVINCE","MELILITITE [17065]",125,249,29.2,111,19,5.66,15.1,1.94,9.77,1.64,3.85,0.46,2.7,0.36,38.6363,-4.0322
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / LUCANIAN MAGMATIC PROVINCE / MONTE VULTURE / MONTICCHIO LAKES FORMATION","MELILITITE [9880]",110,198,20.5,73.9,13.2,3.4,10.7,1.2,5.7,0.82,2.2,0.2,1.4,0.21,40.95,15.62
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT","MELILITITE, OLIVINE [15764]",98.7,186,21.5,79.8,13.4,4.29,10.6,1.4,6.5,1,2.5,0.3,1.7,0.21,-17.4751,48.3591
"BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF","MELILITITE [25213]",163.820107282079,317.796609548818,35.190786013355,110.138115991698,15.681998714131,4.27198444678825,10.1731994450212,1.25900415393023,5.68126519978807,0.998354439631835,2.30132350613608,0.251009312398484,23.2394691842628,0.247500044853276,66.5792610123753,34.4038259983062
"CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","MELILITITE [22536]",89,170,20.6,79.5,13.4,4,10.9,1.35,6.6,1.06,2.43,0.3,1.6,0.23,34,105
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","MELILITITE [23858]",124,248,28.2,106,17.1,4.73,12.7,1.52,7.69,1.12,2.66,0.32,1.84,0.25,50.7052,14.8908
