"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BENMOREITE [8490]",54.3,119.32,14.83,61.84,14.01,4.2,13.21,1.93,12.41,2.54,6.47,0.93,6.46,1.07,-18.8051,48.3183
"BENMOREITE [16706]",61.1,116,12.8,45.7,8.43,2.29,6.9,0.9,5.49,1.03,2.94,0.43,2.51,0.4,50.6832,7.2494
"BENMOREITE [22774]",87.3689417553506,165.291828627057,17.0243569456748,61.3638340071691,9.99281152337128,3.11394625498034,7.78072273631759,1.26403118849792,6.72176116347861,1.41840213958615,3.65727797207636,0.552549780558441,3.45257409397499,0.574104320772831,-72.743537,165.486567
"BENMOREITE [23956]",31.4,73.7,9.91,41.7,9.8,3.15,9.8,1.5,8.9,1.8,5.1,0.7,4.3,0.65,39.1027,41.5543
"BENMOREITE [18721]",66.7,140,17.3,68.7,16.5,5.12,15.7,2.55,14.7,2.75,7.94,1.13,7.15,1.04,54.95,-151.32
"BENMOREITE [14572]",86,176,21,83,15.7,6.59,12.41,1.72,9.69,1.95,4.35,0.65,4.1,0.62,5.93,10.17
"BENMOREITE [24534]",40.8221348915129,90.3111835688559,10.7992508376509,42.132708334967,8.48968844945425,2.16210611907109,7.60346125977099,1.14562369531478,5.96766411087014,1.25380714746016,3.32933551244888,0.471536357171113,2.83810076084528,0.43239617209512,47.145297,109.394865
"BENMOREITE [22299]",55.1266245438379,127.68448321111,16.5083053748442,67.6041998188683,14.7271677870536,5.28395575030665,13.7409906098297,2.18879055064903,13.0421363439386,2.56932063023338,6.76854949107885,0.96557088551894,5.94493932157542,0.937675790570338,24.1985,39.8931
"BENMOREITE [8659]",146,267,28.2,100,17.1,4.98,11.8,1.55,8.33,1.48,3.7,0.48,2.79,0.4,31.5742,-12.9843
"BENMOREITE [23956]",40.4,79.2,10.1,40.3,8.4,2.42,7.8,1.2,6.9,1.4,4,0.58,3.6,0.55,39.3004,40.8974
"BENMOREITE [27006]",23,48.4,5.95,24.5,3.87,1.06,2.76,0.37,1.93,0.31,0.79,0.13,0.78,0.12,-27.01,-69.21
"BENMOREITE [27006]",24.5,53.7,6.86,26.97,4.772,1.32,3.36,0.43,2.11,0.37,0.91,0.14,0.79,0.1,-27.01,-69.21
"NOT GIVEN [16074] / BENMOREITE [14264]",81.5,147,16,56.3,9.6,2.5,8.49,1.13,5.23,1,2.49,0.35,2.2,0.3,37.73,15
"BENMOREITE [24534]",38.9020422702206,78.6059715037533,9.6570537702788,46.26,8.84,2.07090201237436,6.09478437788995,0.891080772702878,4.80444544693176,0.959134031157841,2.48918546901141,0.340801851808783,2.02437261335478,0.298650909456415,47.205855,108.885688
"NOT GIVEN [16074] / BENMOREITE [14264]",83.8,151,16.7,58.9,9.9,2.67,8.91,1.2,5.35,1.05,2.56,0.34,2.3,0.28,37.73,15
"BENMOREITE [27006]",20.1,42.6,5.22,21.5,3.58,1.05,2.49,0.31,1.54,0.28,0.84,0.11,0.69,0.1,-27.01,-69.21
"BENMOREITE [23956]",45,91,11,43.1,8.6,2.57,7.7,1.2,6.8,1.3,3.8,0.53,3.3,0.48,39.1279,41.5475
"BENMOREITE [20288]",53.5,106.8,11.67,44.9,8.47,2.25,7.95,1.42,8.44,1.77,5.45,0.91,5.74,0.88,39.2,44
"BENMOREITE [20288]",58.6,125.3,14.08,49.2,9.6,2.77,9.93,1.64,9.14,1.92,5.9,0.92,6.18,0.9,39.2,44
"BENMOREITE [27006]",22,47.4,5.78,22.9,4.08,1.07,2.81,0.37,1.84,0.29,0.87,0.12,0.76,0.12,-27.01,-69.21
"BENMOREITE [20288]",57,112.5,12.49,45,8.32,2.49,7.88,1.43,8.25,1.87,5.79,0.93,6.21,0.98,39.2,44
"BENMOREITE [23956]",36.5,77.2,9.48,38.6,8.3,2.3,7.6,1.2,6.9,1.3,3.9,0.56,3.6,0.54,39.2817,40.9748
"BENMOREITE [27006]",23.1,44.7,5.54,21.6,3.49,1.14,2.61,0.33,1.63,0.3,0.68,0.1,0.65,0.12,-27.01,-69.21
"BENMOREITE [23956]",31.5,61,6.93,25.5,5.2,1.49,4.8,0.8,4.4,0.9,2.7,0.39,2.5,0.37,39.2654,41.4097
"BENMOREITE [7589]",93,163,14.2,56,10,3.03,9.2,1.14,5.12,0.94,2.8,0.39,2.52,0.37,37.73,15
"BENMOREITE [10245]",124,223,23,83,12.9,3.23,9.1,1.29,6.56,1.18,3.08,0.43,2.8,0.43,37.73,15
"BENMOREITE [10245]",118,240,24.3,84,14.1,3.43,9.3,1.43,7.75,1.46,3.65,0.49,3.23,0.45,37.73,15
"BENMOREITE [22299]",56.976538888776,130.872554741826,16.9100933100669,69.3692046699585,15.0559407000033,4.66013522383293,13.8656773252912,2.1997069283243,13.25313257198,2.56443232062401,6.62041720387482,0.947991623063292,5.86040972810739,0.906953235240713,24.1946,39.8747
"BENMOREITE [16706]",66.7,121,11.8,40.2,7.11,1.87,5.59,0.75,4.3,0.81,2.34,0.34,2.13,0.31,50.6729,7.25
"BENMOREITE [22774]",96.633465271243,175.108397282156,19.2431545393484,69.0582400066561,11.1731244637904,3.4144112684826,9.78003681988317,1.23546356599224,7.12392837220731,1.38511664262222,3.77708098781591,0.536676130856417,3.51034460156781,0.518876446510394,-72.7450395282,165.497527
"BENMOREITE [14503]",50.3,104,10.9,41.5,9.9,2.71,8.9,1.4,7.5,1.3,3.6,0.48,2.9,0.41,37.5,39.75
"BENMOREITE [14465]",85.31,166.08,19.66,73.76,14.13,4.14,12.33,1.91,11.02,2.2,5.83,0.84,5.12,0.79,34.004,-121.116
"BENMOREITE [27006]",21.9,47.4,5.85,24.4,4.08,1.12,2.87,0.37,1.83,0.28,0.74,0.11,0.87,0.11,-27.01,-69.21
"BENMOREITE [6670]",95.3,164.6,15.5,59.3,9.6,2.19,8.92,1.2,6.28,1.14,2.76,0.4,2.64,0.37,-45.6,170.5
"BENMOREITE [27006]",20.9,41.7,4.71,19.1,3.23,1.01,2.18,0.29,1.31,0.26,0.68,0.11,0.57,0.09,-27.01,-69.21
"BENMOREITE [22774]",95.6436567757134,171.261614760475,18.5802499038146,67.3285457648039,11.0851995449248,3.39767162212875,9.53915405105041,1.18704744495761,6.92119464254172,1.30693954480232,3.66248955848448,0.503348556643841,3.29660668325114,0.492355806485306,-72.744271,165.49506
"BENMOREITE [10915]",74.05,121.13,13.38,49.73,9.05,2.43,6.87,0.99,5.36,1.02,2.57,0.37,2.21,0.35,36,-106
"BENMOREITE [10245]",120,236,24.3,88,14,3.63,9.6,1.43,7.36,1.31,3.48,0.47,3.01,0.42,37.73,15
"BENMOREITE [20947]",39,84.7,9.51,39.8,8.65,5.71,8.85,1.32,8.05,1.6,4.49,0.67,4.41,0.67,9.0419,40.0597
"BENMOREITE [16042] / TRACHYANDESITE [10315]",59.3,132,15.3,66.6,13.1,4.13,12.2,1.65,9.8,1.76,4.63,0.59,3.77,0.51,-46.75,37.75
"NOT GIVEN [16074] / BENMOREITE [14264]",83.2,150,16.5,58.9,10.2,2.71,8.92,1.19,5.44,1.05,2.49,0.34,2.3,0.28,37.73,15
"BENMOREITE [7517]",67.1,146,18.2,72.5,14.2,4.31,11.55,1.66,8.56,1.54,3.84,0.537,3.12,0.43,21.18,-157.24
"BENMOREITE [17911]",88.5270114389339,157.381799022319,16.6879468848604,57.1815567784378,8.46270221226024,1.94332224209148,6.47619802569821,1.19598724356143,6.29014353462457,1.39332280399627,3.4696400857761,0.385232861300582,3.26705688853559,0.709583244854041,-78.4492,163.6209
"BENMOREITE [10915]",59.45,96.57,9.81,36.58,6.85,2.04,5.77,0.86,4.84,0.96,2.5,0.36,2.2,0.34,36,-106
"NOT GIVEN [14087] / BENMOREITE, NEPHELINE [8157]",82,147,15.4,53.3,9.13,3.1,8.15,1.15,6.09,1.13,2.97,0.42,2.66,0.38,-45.7,170.65
"BENMOREITE [27006]",23.4,51.4,6.12,23.1,3.65,1.02,2.51,0.32,1.42,0.21,0.63,0.1,0.54,0.08,-27.01,-69.21
"BENMOREITE [22299]",58.8549806201816,131.276739949911,16.4055698740339,64.6444068670409,13.6452555934755,4.0894993568729,12.3361326437948,2.07651725679178,12.3225993999581,2.4531196533418,6.56391189538639,0.954615219218601,6.11706916663021,0.946214687375905,24.2039,39.8435
"BENMOREITE [27006]",23.2,47.1,5.73,22.4,3.53,1.01,2.37,0.33,1.56,0.27,0.74,0.11,0.75,0.09,-27.01,-69.21
"HAWAIITE [11166] / BENMOREITE [10778]",46.9,98.1,12.3,49.5,10,3.07,9.48,1.29,6.86,1.22,3.25,0.43,2.66,0.4,24.42,33.43
"BENMOREITE [18040]",55.7161516196912,122.596771681545,14.6531722257407,60.5447718699936,13.811759183755,4.6674125406434,13.1105023453583,2.12290671219571,12.131796225399,2.32236704445685,6.04823428213208,0.815031360962436,5.00939702137164,0.753113431183437,-7.936,-14.393
