"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4383][7785]","RIFT VOLCANICS","EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / ASSAB VOLCANIC FIELD","","12.95","12.95","42.43","42.43","SAE","","","s_3G16 [4383] / s_3G-16-XE [7785]","PERIDOTITE, SPINEL, XENOLITH [4383] / PERIDOTITE, XENOLITH [7785]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [7785]","WR [4383] / MIN [7785] ","44.5","0.02","","0.99","0.22","1.27","6.89","","0.78","44.68","0.1","0.31","0.003","0.09","0.01","","0.03","","","0.061","","0.013","0.0092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","1.05","","0.39","0.087","0.032","0.102","0.021","","","","","0.087","0.0187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","","","","","160157",
"[17870][17406]","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / LASHAINE","","-3","-3","37.3","37.3","SAE","","","s_BD747 [17870]","PERIDOTITE, XENOLITH [17870] / LHERZOLITE, XENOLITH [17406]","","","","","","","","","PER","","","","","WR [17870] ","40.9","0.06","","0.21","0.09","1","7.21","","0.32","48.9","0.12","0.43","0.04","0.1","0.04","","0.25","0.21","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","184","","","486","","5.74","390","9","405","1015","","162","2701","7.47","43.94","0.41","","","","","2.11","112","0.24","3.05","1.76","","","","","","","","0.26","","","","0.01","30.83","1.29","1.16","0.2","0.68","0.11","0.03","0.09","0.01","0.04","0.01","0.02","0","0.01","0.002","0.08","0.28","","","","","","","","","0.16","","0.07","0.05","","","","","","","","","","","","","","","","","","","","","","","","","161508",
"[17406]","RIFT VOLCANICS","EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / LASHAINE","","-3","-3","37.3","37.3","SAE","","","s_BD1542 [17406]","HARZBURGITE, CHROMITE, XENOLITH [17406]","","","","","","","","","PER","","","","","WR [17406] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","584","","8.57","753","22.38","1534","1026","","159","2584","10.3","34.69","1.18","","","","","3.29","225","0.89","8.51","2.85","","","","","","","","0.36","","","","0.03","44.53","1.76","2.53","0.33","1.14","0.2","0.06","0.18","0.03","0.16","0.03","0.09","0.01","0.09","0.015","0.19","0.29","","","","","","","","","0.21","","0.19","0.02","","","","","","","","","","","","","","","","","","","","","","","","","161510",
"[23283]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / OTAGO / ANITA PERIDOTITE","","-45","-45","169","169","SAE","","","s_A2-25A [23283]","PERIDOTITE [23283]","","","","CRETACEOUS [23283]","","","","","PLU","","","","","WR [23283] ","43.2","0","","0.31","0.35","","","6.96","0.04","47.8","0.11","","0.05","0.05","0.01","","","","","","","","","","","","","","","","0.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1624183",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH25 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","41.1","0.21","","4.68","","2.95","6.82","","3.88","29.25","0.16","","0.03","0.04","0.05","","9.47","","","0.57","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162422",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH26 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","39.4","0.1","","2.09","","2.19","8.04","","1.88","35.7","0.15","","0.02","0.03","0.04","","9.25","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162423",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH49 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","43.7","0.24","","4.42","","2.68","7.87","","4.85","26.5","0.17","","0.06","0.29","0.05","","7.45","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162425",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH65 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","38.99","0.11","","2.4","","6.26","1.07","","0.04","37.9","0.12","","0.01","0.03","0.03","","12.43","","","0.16","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162426",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH70 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","39.28","0.11","","3.01","","4.46","3.15","","1.02","36.12","0.13","","0.01","0.03","0.03","","11.46","","","0.18","","","","","","","","","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162427",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH78 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","40.34","0.14","","3.49","","3.58","4.39","","2.7","33.88","0.12","","0.01","0.04","0.04","","10.3","","","0.23","","","","","","","","","","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162428",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH84 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","40.3","0.11","","3.65","","4.13","3.66","","1.09","34.5","0.16","","0.02","0.21","0.04","","11.04","","","0.39","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162429",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH86 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","40.7","0.08","","2.31","","3.24","3.65","","0.24","36.28","0.13","","0","0.03","0.03","","12.14","","","0.61","","","","","","","","","","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162430",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_DH90 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","41.53","0.18","","4.11","","2.71","5.86","","3.34","31.14","0.16","","0.03","0.04","0.04","","10","","","0.17","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162431",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_SS20 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","45.22","0.09","","2.06","","2.85","7.23","","2.4","30.26","0.19","","0.02","0.04","0.04","","8.65","","","0.26","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162432",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_SS39 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","40.4","0.05","","0.76","","5.96","3.37","","0.03","36.69","0.11","","0.01","0.03","0.03","","11.54","","","0.11","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162433",
"[5133]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","KAAPVAAL CRATON_ARCHEAN / STOLZBURG PLUTON","","-25.78","-25.78","31.05","31.05","SAE","","","s_SS45 [5133]","PERIDOTITE [5133]","","","","ARCHEAN [5133]","","","","","PLU","","","E","","WR [5133] ","37.53","0.04","","0.52","","3.21","2.95","","0.02","37.18","0.07","","0","0.03","0.02","","10.6","","","7.27","","","","","","","","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162434",
"[23290]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / PLATREEF UNIT","BAFOKENG RASIMONE PLATINUM MINE","-25.4631","-25.4631","27.1283","27.1283","SAE","","","s_PLATREEF-10 [23290]","PERIDOTITE, SERPENTINE [23290]","","","","PROTEROZOIC [23290]","","","","","PLU","282.9","284","","","WR [23290] ","45.08","0.1","","4","0.31","","","12.13","2.97","26.61","0.24","","0.05","0.15","0","","","","","","","","","","","","","","","1.13","4.3","","","","","","","","","","","","","","10.47","","","","","","","","","","","","","","37.76","1004","125","","","","108","400","796","73.63","","","0.5","4.7","","5.76","64.3","3.6","7.4","0.4","0.2","","","1238","328","0.1","","0.2","0.1","0.5","","0.81","27.5","1.48","3.02","0.388","1.64","0.42","0.173","0.499","0.093","0.629","0.143","0.437","0.07","0.485","0.077","0.23","0.04","0.149","","","","1272","180","","0.069","4.16","0.2","0.31","0.07","","","","","","","","","","","","","","","","","","","","","","","","","1630719",
"[7288][12725][9080]","INTRAPLATE VOLCANICS","BALTIC SHIELD / KOLA-LAPLAND PROVINCE / PECHENGA-PASVIK GREENSTONE BELT / NORTHERN PECHENGA GROUP - PILGUJARVI SEDIMENTARY F","PILGUJARVI ORE BODY","69.48","69.48","30.75","30.75","SAE","","","s_SA-40 [7288]","PERIDOTITE [7288] / WEHRLITE [12725]","","","PALEO [7288]","PROTEROZOIC [7288]","","","","","PLU","","","","","WR [7288] ","36.74","0.86","","2.97","","7.45","11.51","18.21","2.8","31.82","0.23","","0.29","0.17","0.07","7.42","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","","","","15","","","4768","","","168","1900","120","","","","","","","9.25","33.23","","","","","0","0","0.002","","","","","","","","","41.3","5.36","13.16","","7.66","2","0.58","","0.28","","","","","0.52","0.07","","0.28","","","0","0.00002","0.002","0.00035","","","","","0.6","0.11","","","","0.724207","","","","","","","","","","","","","","","","","","","","","163761",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-2 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","43.22","0.01","","0.24","","","","9.84","0.42","44.87","0.2","","0","0.05","0.01","","","","","","","","","","","","","","","","-0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","10","2721","","","","1009","7","84","1","","","","","0.12","2.16","0.34","0.76","0.02","","","","","","","","","","","","","5.4","0.918","3.251","0.258","0.911","0.157","0.027","0.105","0.018","0.071","0.014","0.035","0.005","0.035","0.006","0.017","0.004","","","","","","","","","0.161","","0.037","0.015","","","","","","","","","","","","","","","","","","","","","","","","","1646262",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-14 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","41.08","0.01","","0.21","","","","7.86","0.2","49.56","0.16","","0","0.11","0.02","","","","","","","","","","","","","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","10","4140","","","","1985","5","53","2","","","","","0.09","1.34","0.14","0.62","0.01","","","","","","","","","","","","","3.9","0.294","0.253","0.073","0.288","0.052","0.011","0.035","0.006","0.023","0.005","0.014","0.002","0.02","0.004","0.013","0.003","","","","","","","","","0.072","","0.033","0.039","","","","","","","","","","","","","","","","","","","","","","","","","1646263",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-41 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","40.36","0.03","","0.36","","","","12.15","0.58","45.63","0.24","","0","0.09","0.03","","","","","","","","","","","","","","","","-0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","19","2813","","","","1387","17","61","2","","","","","0.08","3.17","0.19","0.67","0.02","","","","","","","","","","","","","23","0.191","0.255","0.041","0.167","0.038","0.013","0.036","0.006","0.03","0.007","0.02","0.003","0.027","0.005","0.016","0.002","","","","","","","","","0.097","","0.028","0.012","","","","","","","","","","","","","","","","","","","","","","","","","1646264",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-47 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","41.04","0.01","","0.14","","","","8.38","0.57","49.04","0.17","","0","0.1","0.17","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","9","1632","","","","1120","8","52","4","","","","","0.06","3.31","0.2","1.06","0.02","","","","","","","","","","","","","21","0.39","0.399","0.08","0.305","0.056","0.014","0.041","0.006","0.028","0.006","0.018","0.003","0.021","0.004","0.023","0.002","","","","","","","","","0.122","","0.043","0.019","","","","","","","","","","","","","","","","","","","","","","","","","1646265",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-49 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","41.45","0.04","","1.24","","","","9.08","0.89","46.22","0.18","","0.03","0.21","0.03","","","","","","","","","","","","","","","","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","19","2813","","","","1387","17","61","2","","","","","0.48","26.7","1.58","4.25","0.11","","","","","","","","","","","","","57","0.943","1.93","0.224","0.973","0.272","0.079","0.273","0.046","0.271","0.061","0.164","0.025","0.163","0.028","0.098","0.006","","","","","","","","","0.257","","0.147","0.055","0.513048","","","0.703473","","18.2894","","15.4945","","37.971","","","","","","","","0.283249","","","","","","","1646266",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-51 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","42.01","0.09","","2.28","","","","8.59","1.67","44.05","0.18","","0.08","0.37","0.04","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","27","2988","","","","1346","17","60","3","","","","","0.76","36.1","3.83","6.44","0.15","","","","","","","","","","","","","103","1.197","3.555","0.443","2.176","0.66","0.196","0.678","0.113","0.659","0.147","0.397","0.058","0.382","0.063","0.18","0.007","","","","","","","","","0.409","","0.187","0.064","0.513046","","","0.703444","","18.28","","15.4858","","37.962","","","","","","","","0.28328","","","","","","","1646267",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-60 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","40.07","0.01","","1.06","","","","8.9","0.08","47.7","0.14","","0.01","0.11","0.02","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","59","11747","","","","2842","10","105","2","","","","","0.35","2.79","0.09","0.64","0.03","","","","","","","","","","","","","23","0.194","0.239","0.043","0.177","0.032","0.01","0.021","0.004","0.014","0.003","0.008","0.001","0.01","0.002","0.014","0.002","","","","","","","","","0.192","","0.023","0.016","","","","","","","","","","","","","","","","","","","","","","","","","1646268",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-66 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","41.56","0.06","","1.25","","","","8.56","0.89","46.54","0.18","","0.03","0.21","0.04","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","21","3799","","","","1413","10","63","2","","","","","0.37","19.3","2.14","3.32","0.09","","","","","","","","","","","","","31","0.951","1.671","0.263","1.254","0.366","0.104","0.368","0.062","0.357","0.081","0.217","0.032","0.213","0.036","0.095","0.005","","","","","","","","","0.239","","0.126","0.046","0.513038","","","0.703433","","18.2886","","15.5006","","38.033","","","","","","","","0.283277","","","","","","","1646269",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-74 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","40.91","0.02","","0.33","","","","9.9","0.26","47.75","0.2","","0.01","0.12","0.04","","","","","","","","","","","","","","","","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","12","2282","","","","1279","9","60","2","","","","","0.11","5.95","0.34","2.07","0.05","","","","","","","","","","","","","14","0.422","0.671","0.106","0.445","0.095","0.025","0.075","0.012","0.058","0.013","0.034","0.005","0.037","0.007","0.046","0.003","","","","","","","","","0.172","","0.055","0.03","0.513122","","","0.703572","","18.2815","","15.4817","","37.864","","","","","","","","0.283218","","","","","","","1646270",
"[23355]","CONVERGENT MARGIN","KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / KHARCHINSKY","NORTHERN CENTRAL KAMTCHATKA DEPRESSION","56.65","56.65","161.4","161.4","SAE","","","s_KHO3-81 [23355]","PERIDOTITE, XENOLITH [23355]","","","","","","","","","PER","","","","","WR [23355] ","44.21","0.01","","0.6","","","","8.4","0.66","45.22","0.15","","0.02","0.14","0.02","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","30","1517","","","","2546","5","47","1","","","","","0.45","14.4","0.49","1.08","0.02","","","","","","","","","","","","","67","0.895","0.508","0.164","0.655","0.106","0.032","0.093","0.014","0.056","0.013","0.036","0.006","0.043","0.008","0.028","0.002","","","","","","","","","0.24","","0.044","0.022","0.51312","","","0.703501","","18.2819","","15.4844","","37.872","","","","","","","","0.283256","","","","","","","1646271",
"[9374][8596]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / HESSIAN DEPRESSION","HIRZSTEIN, ELGERSHAUSEN","51.28","51.28","9.37","9.37","SAE","","","s_B [9374]","PERIDOTITE, XENOLITH [9374]","","","","CENOZOIC [8596]","","","","","PER","","","","","WR [9374] ","43.25","0.05","","0.9","0.41","1.72","7.02","","0.76","44.3","0.13","0.32","0.05","0.08","0.044","","0.32","0.31","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","31","613","","","192","12","34","415","","9","273","18","2820","1010","","114","2536","12","53","","","","","","1.7","20","0.5","5","1.3","","","","","","0.009","","","","","","","9","2","5","","","0.85","0.28","","0.09","","","","","0.42","0.06","0.35","0.09","","","","","","","","0.002","0.2","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","165159",
"[9374][8596]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / HESSIAN DEPRESSION","HIRZSTEIN, ELGERSHAUSEN","51.28","51.28","9.37","9.37","SAE","","","s_C [9374]","PERIDOTITE, XENOLITH [9374]","","","","CENOZOIC [8596]","","","","","PER","","","","","WR [9374] ","44.63","0.04","","2.11","0.39","1.62","6.29","","2.12","41.19","0.13","0.3","0.01","0.2","","","0.67","0.31","","0.17","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","30","1503","","","","13","30","59","","11.4","252","51","2637","1010","","117","2324","11","50","","","","","","1","19","1.3","4","1.3","","","","","","0.007","","","","","","","1","1.6","4.1","","","0.63","0.13","","0.04","","","","","0.24","0.05","0.24","0.08","","","","","","","","0","0.05","0","","","","","","","","","","","","","","","","","","","","","","","","","","","165160",
