"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN10 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.51","0.05","","1.84","0.4","","","8.64","1.34","44.24","0.12","","0.02","0.09","0.01","","","","","","","","","","","","","","","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","","","","","","","1.4","","","","","0.4","7","0.8","2","0.4","","","","","","","","","","","","","6","0.4","0.8","0.07","0.5","0.05","0.04","0.14","0.03","0.21","0.07","0.11","0.04","0.18","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014390",
"[20037]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / SAUDI ARABIA / HARRAT AL KISHB","","22.8","22.8","41.38","41.38","SAE","","","s_XN11 [20037]","PERIDOTITE, XENOLITH [20037]","","","","","","","","PROTOGRANULAR [20037] ","PER","","","F","","WR [20037] ","45.51","0.1","","2.53","0.46","","","8.8","1.93","42.17","0.13","","0.02","0.11","0.01","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.78","","","","","","","","1.73","","","","","0.48","11.91","1.33","3.38","0.58","","","","","","","","","","","","","5.61","0.56","1","0.11","0.53","0.09","0.05","0.17","0.03","0.24","0.06","0.17","0.03","0.2","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1014391",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4984","-74.4984","164.1396","164.1396","SAE","","","s_MBBP1201  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","","","","","1015342",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4984","-74.4984","164.1396","164.1396","SAE","","","s_MBBP1201  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from ORTHOPYROXENE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","1015343",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4984","-74.4984","164.1396","164.1396","SAE","","","s_MBBP1202  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","1015344",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4984","-74.4984","164.1396","164.1396","SAE","","","s_MBBP1203  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","","","","","1015345",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BROWNING PASS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.4984","-74.4984","164.1396","164.1396","SAE","","","s_MBBP1203  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from ORTHOPYROXENE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","","","","","1015346",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.2055","-74.2055","164.832","164.832","SAE","","","s_MBBR1201  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","","","","","1015347",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.2055","-74.2055","164.832","164.832","SAE","","","s_MBBR1201  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","","","","","1015348",
"[20052]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT","BAKER ROCKS, TRANSANTARCTIC MOUNTAINS, MELBOURNE VOLCANIC PROVINCE, MCMURDO VOLCANIC GROUP","-74.2055","-74.2055","164.832","164.832","SAE","","","s_MBBR1202  [20052]","PERIDOTITE, XENOLITH [20052]","","","","","","","","","PER","","","","HE3_HE4(R/R(A)) from OLIVINE [20052]","MIN [20052] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","1015349",
