"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[22952]","INTRAPLATE VOLCANICS","ARABIAN-NUBIAN SHIELD / EGYPT / EASTERN DESERT / MIKBI INTRUSION","","24","24","35","35","SAE","","","s_55/3 [22952]","PYROXENITE [22952]","","","NEO [22952]","PROTEROZOIC [22952]","","","","","PLU","","","","","WR [22952] ","43.34","0.586","","11.5","","","","10.41","8.65","18.81","0.193","","0.072","0.91","0.048","","","","","","","","","","","","","","","","4.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","904","","","84","430","","79","10","","","","","1","87","11","19","0.3","","","","","","","","","","","","0.1","12","0.9","2.7","0.49","2.9","1.09","0.47","1.47","0.3","1.84","0.39","1.22","0.18","1.09","0.15","1","0.1","","","","","","","","","1","","0.2","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1535086",
"[8226]","INTRAPLATE VOLCANICS","CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / PERSANI MOUNTAINS","BARC QUARRY, TRANSYLVANIAN BASIN","46","46","26","26","SAE","","","s_BC-05 [8226]","PYROXENITE, AMPHIBOLE [8226]","","","","NEOGENE [8226]","","","","EQUIGRANULAR [8226] ","PLU","","","","","WR [8226] ","42.61","1.66","","13.67","","","","10.02","12.3","13.72","0.18","","0.89","2.65","0.05","","","","","","","","","","","","","","","","-0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","","297","701","","","","233","24","78","","","","","","5.1","420","22","68","22","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","153928",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_DR 10163 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","45.11","2.89","","11.79","","","8.98","9.85","13.4","12.33","","","0.92","2.02","0.08","","0.95","","","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","280","1715","","","","487","12","92","13","","","","","3.6","182","16","52","7","","","","","","","","","","","","0.04","94","5.4","18.7","","15.82","4.785","1.7","","0.69","","0.597","","","0.74","","2.97","0.99","","","","","","","","","","","0.39","","0.512874","","","0.703898","","","","","","","","","","","","","","","","","","","","","154283",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_DR 9734 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","46.18","0.23","","14.82","","","4.81","7.26","16.58","12.17","","","0.03","1.34","0.03","","0.25","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","554","","","","245","2","43","7","","","","","0.54","69.9","8","11","3","","","","","","","","","","","","","8","3","16","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512858","","","0.7037","","","","","","","","","","","","","","","","","","","","","154284",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_DR 10165 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","46.1","0.39","","13.67","","","4.73","7.24","11.31","20.06","0.14","","0","0.45","0.04","","0.22","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","141","2836","","","","606","6","61","5","","","","","0.36","85","12","17","2","","","","","","","","","","","","0.013","13","5.2","15.6","","8.907","1.62","0.53","","0.24","","0.389","","","0.81","","0.49","0.48","","","","","","","","","","","0.39","0.06","0.512413","","","0.708579","","","","","","","","","","","","","","","","","","","","","154287",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - LAKE GNOTUK","","-38.25","-38.25","143.1","143.1","SAE","","","s_GN 18 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","46.89","0.25","","14.18","","","5.53","7.4","16.01","13.92","0.18","","0.01","1.13","0.06","","0.3","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","134","865","","","","324","13","46","14","","","","","0.29","100.4","10","13","3","","","","","","","","","","","","0","11","5.3","13","","7.096","1.411","0.49","","0.18","","0.263","","","0.49","","0.33","0.85","","","","","","","","","","","0.75","0.13","0.512565","","","0.704948","","","","","","","","","","","","","","","","","","","","","154291",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - LAKE GNOTUK","","-38.25","-38.25","143.1","143.1","SAE","","","s_GN 35 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","45.99","0.44","","13.68","","","4.31","6.47","10.67","21.13","0.22","","0","0.83","0.01","","0.28","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","3926","","","","618","5","52","11","","","","","0.29","57.55","10","11","1","","","","","","","","","","","","","19","2","9","","2.759","0.919","","","","","","","","","","","","","","","","","","","","","","","","0.512838","","","0.704935","","","","","","","","","","","","","","","","","","","","","154292",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - LAKE GNOTUK","","-38.25","-38.25","143.1","143.1","SAE","","","s_GN 41 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","45","0.54","","16.41","","","8.5","10.29","12.52","14.16","0.3","","0.01","0.76","0.04","","0.39","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","750","","","","270","16","35","12","","","","","0.3","33.05","23","12","0.5","","","","","","","","","","","","","16","3","12","","1.51","0.845","","","","","","","","","","","","","","","","","","","","","","","","0.513129","","","0.704621","","","","","","","","","","","","","","","","","","","","","154294",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - LAKE GNOTUK","","-38.25","-38.25","143.1","143.1","SAE","","","s_GN 51 [8560]","PYROXENITE, GARNET [8560]","","","","","","","","","PLU","","","","","WR [8560] ","43.99","0.29","","18.13","","","8.15","10.71","12.37","13.35","0.29","","0.02","0.73","0.06","","0.53","","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","462","","","","200","7","27","11","","","","","1","61","18","21","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154295",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_DR 9736 [8560]","PYROXENITE, SPINEL, XENOLITH [8560]","","","","","","","","","PER","","","","","WR [8560] ","46.61","0.14","","10.59","","","7.23","9.57","1.77","23.86","0.18","","0","0.43","0.02","","0.38","","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","140","3357","","","","856","5","80","8","","","","","0.29","52.36","11","8","3","","","","","","","","","","","","0","12","3.6","9.4","","4.276","0.814","0.21","","0.13","","0.3","","","0.92","","0.24","0.61","","","","","","","","","","","0.17","","0.512574","","","0.705377","","","","","","","","","","","","","","","","","","","","","154296",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_BM 626 [8560]","PYROXENITE, SPINEL, XENOLITH [8560]","","","","","","","","","PER","","","","","WR [8560] ","46.79","0.13","","10.14","","","3.4","5","11.44","23.07","0.14","","0.03","0.95","0.04","","0.63","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","8983","","","","893","4","107","6","","","","","0","173","5","14","6","","","","","","","","","","","","","41","8","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154298",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_BM 627 [8560]","PYROXENITE, SPINEL, XENOLITH [8560]","","","","","","","","","PER","","","","","WR [8560] ","45.84","0.25","","12.8","","","2.8","4.53","10.85","23.19","0.08","","0","0.8","0.02","","0.25","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","224","5463","","","","760","0","88","5.5","","","","","0.255","151.3","15","13","1","","","","","","","","","","","","0","33","16.2","42.3","","16.01","2.167","0.57","","0.3","","0.607","","","1.33","","0.49","0.56","","","","","","","","","","","1.27","0.24","0.512145","","","0.714556","","","","","","","","","","","","","","","","","","","","","154299",
"[8560]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - LAKE GNOTUK","","-38.25","-38.25","143.1","143.1","SAE","","","s_GN 23 [8560]","PYROXENITE, SPINEL, XENOLITH [8560]","","","","","","","","","PER","","","","","WR [8560] ","48.46","0.2","","10.37","","","3.4","4.89","11.19","23.06","0.12","","0.03","0.78","0.03","","0.4","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","3745","","","","780","3","55","4","","","","","0.94","98.4","7","15","6","","","","","","","","","","","","","19","9","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703767","","","","","","","","","","","","","","","","","","","","","154300",
"[10890]","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR","","-38.25","-38.25","143.1","143.1","SAE","","","s_BM 901 [10890]","LHERZOLITE, SPINEL, XENOLITH [10890]","","","","","","","","","PER","","","","HE3_HE4 from OLIVINE [10890]","MIN [10890] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000143","","","","","","154354",
"[23066]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SIGURD AND VERRE VOLCANOES","79.17","79.17","13.5","13.5","SAE","","","s_SP3 [23066]","PYROXENITE, SPINEL-GARNET, XENOLITH [23066]","","","","","","","","","PER","","","","","WR [23066] ","41.71","1.04","","17.96","","","","12","10.79","14.19","0.18","","0.19","1.04","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","","","","182","","","","","","","","2.53","75","21.9","48.9","2.97","","","","","","","","","","","","","","3.1","7.03","","5.17","2.02","0.94","3.52","","","","2.09","","1.64","0.22","1.42","","","","","","","","","","","","0.32","0","","","","","","","","","","","","","","","","","","","","","","","","","1557602",
"[23066]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SIGURD AND VERRE VOLCANOES","79.17","79.17","13.5","13.5","SAE","","","s_SP6 [23066]","PYROXENITE, SPINEL-GARNET, XENOLITH [23066]","","","","","","","","","PER","","","","","WR [23066] ","38.2","1.77","","16.74","","","","13.27","10.42","12.52","0.2","","0.79","2.02","0.25","","","","","","","","","","","","","","","","2.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375","","","","311","","","","","","","","15.7","397","21.5","112","24.9","","","","","","","","","","","","","","19.7","36.1","","17.7","4.11","1.51","4.86","","","","2.05","","1.6","0.25","2.85","","","","","","","","","","","","2.33","0.58","","","","","","","","","","","","","","","","","","","","","","","","","1557603",
"[23066]","CONTINENTAL FLOOD BASALT","HIGH ARCTIC LARGE IGNEOUS PROVINCE / SVALBARD ARCHIPELAGO - SPITSBERGEN ISLAND","SIGURD AND VERRE VOLCANOES","79.17","79.17","13.5","13.5","SAE","","","s_SP15 [23066]","PYROXENITE, SPINEL-GARNET, XENOLITH [23066]","","","","","","","","","PER","","","","","WR [23066] ","40.99","1.15","","15.93","","","","10.69","13.14","14.27","0.14","","0.21","1.32","0.05","","","","","","","","","","","","","","","","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2","","","","122","","","","","","","","5.21","127","13.1","39.3","3.87","","","","","","","","","","","","","","4.63","9.55","","6.42","1.95","0.85","2.88","","","","1.2","","0.92","0.12","1.36","","","","","","","","","","","","0.67","0.16","","","","","","","","","","","","","","","","","","","","","","","","","1557604",
"[23095]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON / LABRADOR / NAIN PROVINCE - HOPEDALE BLOCK","KEJUKSOATALIK ISLAND","55.3199","55.3199","-60.0258","-60.0258","SAE","","","s_10TS14 [23095]","PYROXENITE [23095]","","","PALEO [23095]","PROTEROZOIC [23095]","","","","","PLU","","","","","WR [23095] ","49.69","0.38","","9.92","","","","8.34","6.56","16.2","0.14","","0.55","1.84","0.06","","","","","","","","","","","","","","","","4.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","135","2400","","","78","730","50","80","","","","","","25","137","8.6","56","1.8","0","","","","","","","0","","","","1.6","201","9.63","19.9","2.24","9.17","1.83","0.518","1.57","0.25","1.51","0.29","0.9","0.135","0.87","0.135","1.4","0.27","24","","","","","","","","0","","1.14","0.25","","","","","","","","","","","","","","","","","","","","","","","","","1562500",
"[23103]","INTRAPLATE VOLCANICS","ANTARCTICA / EASTERN ANTARCTICA / RAUER ISLANDS","SCHEERBININA ISLAND","-68.8361969","-68.8361969","77.9310989","77.9310989","SAE","","","s_57492-2              [23103]","PYROXENITE, BIOTITE [23103]","","","","PROTEROZOIC [23103]","","","","","PLU","","","","","WR [23103] ","49.7999992370605","0.860000014305115","","3.77999997138977","","","","14.4","5.44999980926514","23.2000007629395","0.28999999165535","","1.19000005722046","0.150000005960464","9.00000035762787E-02","","","","","","","","","","","","","","","","0.119999997317791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","1280","","","","1140","","","","","","","","59","17","9","66","5.19999980926514","","","","","","","","","","","","","356","6.17999982833862","15.1999998092651","2.10999989509583","10.3999996185303","2.33999991416931","0.680000007152557","2.1800000667572","0.310000002384186","1.87000000476837","0.349999994039536","0.939999997615814","0.129999995231628","0.920000016689301","0.109999999403954","1.53999996185303","0.270000010728836","","","","","","","","","1","","0.159999996423721","0.100000001490116","","","","","","","","","","","","","","","","","","","","","","","","","1562910",
"[7709]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK TERRANE - SOWCHEA SUCCESSION","MURRAY RIDGE, PINCHI FAULT SYSTEM","54.4","54.6","-124","-124.5","SAE","","","s_PG97-17 [7709]","PYROXENITE [7709]","","","","TRIASSIC [7709]","","","","","PLU","","","","","WR [7709] ","52.73","","","0.87","","","","6.48","0.95","36.35","0.16","","0.002","0.01","0","","","","","","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1236","0.6433","0.0625","0.0808","0.2353","","","","","","","","","","","","","3.329","0.0199","0.0412","0.0049","0.0224","0.0053","0.0016","0.0055","0.001","0.0077","0.0022","0.0099","0.0022","0.0196","0.0046","0.0021","0.0086","","","","","","","","","0.1124","","0.0086","0.004","","","","0.708521","","","","","","","","","","","","","","","","","","","","","156364",
"[23168]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT","HANNUOBA-HUAI^AN AREA","40","41","114","115","SAE","","","s_JN0863 [23168]","PYROXENITE, XENOLITH [23168]","","","","","","","","","PER","","","","","WR [23168] ","47.73","0.4","","11.42","","","","6.21","8.37","23.26","0.15","","0.05","0.59","0","","","","","","","","","","","","","","","","0.53","","","","","","","","","","","","","","1.73191338090499","5.48089662571108E-02","","","","","","","","","","","","","37.5175542131198","","179.1866802861","4245.03550620386","","","53.443146548223","881.00852133244","59.7647084383629","32.4899703703907","7.37703832448703","","","","","1.76197848999139","23.9795142957122","12.7610192790347","15.903925201624","0.415983155150224","","","","","","","","","","","","1.59747285939051E-02","3.3819125554285","0.59407648095061","1.8657865265807","0.387014071310797","2.34013954138216","0.970634217836763","0.376775057020836","1.56290843439335","0.320768290432544","2.12380578205938","0.471302520940042","1.4501822609915","0.22711158354232","1.63157293953732","0.24485432600937","0.623847322749096","2.43155494695245E-02","","","","","","","","","2.76912895613186","","4.89917805881323E-02","0.035421730496754","","","","0.703972","","","","","","","","","","","","","","0.283443873954514","","","","","","","1583461",
"[23168]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT","HANNUOBA-HUAI^AN AREA","40","41","114","115","SAE","","","s_JN0869 [23168]","PYROXENITE, XENOLITH [23168]","","","","","","","","","PER","","","","","WR [23168] ","46.94","0.25","","12.62","","","","5.66","7.15","24.19","0.12","","0.21","0.48","0","","","","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","4.2305461598547","0.07291828261898","","","","","","","","","","","","","11.1741058709594","","129.438713440761","2603.98486718076","","","66.9440522074298","1045.40420414602","34.8018437706777","86.991309460241","11.5689757893587","","","","","7.25404338785293","33.1649554235763","5.34930697448537","8.73373886974692","0.283867420527635","","","","","","","","","","","","1.59763522226326E-02","4.09934452620692","0.294995676459802","0.979689434559483","0.202065331925273","1.29160243216202","0.488382765550587","0.234034234151944","0.822051862237411","0.142826440388146","0.939449251325425","0.189778256161551","0.578174827022966","0.087578622733592","0.576846062048071","8.31634801571248E-02","0.269982570767386","1.62831608341246E-02","","","","","","","","","0.555279255788001","","0.047199448249966","3.15314492485999E-02","","","","0.703537","","","","","","","","","","","","","","0.283169233109674","","","","","","","1583462",
"[23168]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT","HANNUOBA-HUAI^AN AREA","40","41","114","115","SAE","","","s_JN0905 [23168]","PYROXENITE, XENOLITH [23168]","","","","","","","","","PER","","","","","WR [23168] ","51.44","0.14","","5.51","","","","5.07","14.96","20.46","0.12","","0","0.61","0.02","","","","","","","","","","","","","","","","0.73","","","","","","","","","","","","","","1.63","0.028494160606457","","","","","","","","","","","","","36.8014654014688","","173.122249149413","3181.29080224767","","","44.3633190463494","696.561175173588","142.408683133717","20.1202843079553","4.3569385395013","","","","","0.230423197401311","45.4005787717294","5.52029970555623","4.36357198548815","3.28481460509098","","","","","","","","","","","","5.85628781628263E-03","0.468424698679222","0.438954964777311","1.42669932554244","0.27742753923887","1.59152303883814","0.639209783484146","0.225046215433999","0.809742560583472","0.148159808298968","0.986303098360375","0.219835002681536","0.582791295233475","8.68832395536844E-02","0.543929516836849","7.78325778649553E-02","0.193495182106677","0.30260814128019","","","","","","","","","0.32062152806019","","3.86973610238828E-02","1.53497093060237E-02","0.512706373521624","","","0.704409","","","","","","","","","","","","","","0.283011101682448","","","","","","","1583463",
"[23168]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT","HANNUOBA-HUAI^AN AREA","40","41","114","115","SAE","","","s_JN0905 [23168]","PYROXENITE, XENOLITH [23168]","","","","","","","","","PER","","","","","WR [23168] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73584320235478","3.48570335955607E-02","","","","","","","","","","","","","41.2216535944446","","191.391700626682","3444.04885227674","","","48.7050363288848","768.546775427973","157.346280282028","20.9425915282826","4.78273514324249","","","","","0.241040567493345","50.3566862084443","6.13907471865513","4.80627630181728","2.14779557196127","","","","","","","","","","","","8.15182079393005E-03","0.515281570592092","0.491308638294851","1.59022127981926","0.304878096696792","1.76114465369068","0.731322960394177","0.249872773875282","0.931583227399857","0.167021937760046","1.07336567004053","0.227878204919311","0.642672757709741","0.100748740291211","0.615665709368421","7.66175188501779E-02","0.211126249523921","0.202617212623784","","","","","","","","","0.351192914488451","","4.51708970525797E-02","1.58406528154761E-02","","","","","","","","","","","","","","","","","","","","","","","","","1583464",
"[23212]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE / HUDESHENG MAFIC-ULTRAMAFIC INTRUSION","OULONGBULUKE BLOCK, EAST OF WULAN COUNTY","36.8653","36.9139","98.6589","98.7419","SAE","","","s_HDS-ZK001-Y18-1 [23212]","PYROXENITE, OLIVINE [23212]","","","","PALEOZOIC [23212]","","","","","PLU","","","","","WR [23212] ","42.86","0.24","","23.68","","","","4.29","15.45","7.72","0.13","","0.16","1.46","0.01","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","11.63","0.34","","","","","","","","","","","","","28.25","","147.5","110.9","","","31.89","78.41","34.66","22.96","11.72","","","","","3.15","843.5","4.8","5.65","0.57","","","","","","","","","","","","","90.32","1.74","4.25","0.64","2.87","1.61","0.34","0.78","0.16","0.73","0.18","0.42","0.08","0.41","0.05","0.3","0.19","","","","","","","","","5.99","","0.38","0.11","","","","","","","","","","","","","","","","","","","","","","","","","1594721",
"[23212]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / QINGHAI PROVINCE / HUDESHENG MAFIC-ULTRAMAFIC INTRUSION","OULONGBULUKE BLOCK, EAST OF WULAN COUNTY","36.8653","36.9139","98.6589","98.7419","SAE","","","s_HDS-ZK001-Y18-2 [23212]","PYROXENITE, OLIVINE [23212]","","","","PALEOZOIC [23212]","","","","","PLU","","","","","WR [23212] ","43.65","0.08","","24.33","","","","3.42","15.56","6.88","0.12","","0.03","1.8","0.01","","","","","","","","","","","","","","","","3.33","","","","","","","","","","","","","","11.35","0.24","","","","","","","","","","","","","14.04","","65.34","84.86","","","28.18","75.5","10.53","17.08","10.63","","","","","1.7","824.4","2.63","4.78","0.3","","","","","","","","","","","","","27.51","1.02","2.19","0.28","1.21","1.2","0.21","0.35","0.09","0.3","0.09","0.19","0.04","0.2","0.02","0.22","0.06","","","","","","","","","5.49","","0.37","0.11","","","","","","","","","","","","","","","","","","","","","","","","","1594722",
