"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20236]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA","MENDOZA","-32.6928","-32.6928","-68.9967","-68.9967","SAE","","","s_LP PX [20236]","PYROXENITE [20236]","","","","","","","","","PLU","","","","","WR [20236] ","35.95","2.23","","4.94","","","","20.81","21.11","9.53","0.28","","0.07","0.26","2.25","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","612","0","","","87","0","380","150","17","","","","","2","420","23","102","0","","","","","","","","3","1.1","","","0.6","22","30.4","75.2","11.5","55.7","13.1","4.13","11.4","1.5","6.2","0.9","2.3","0.28","1.6","0.2","4.5","0.1","204","","","","","","","0","8","2.1","1.5","0.2","0.51277","","","0.70395","","18.7788","","15.7494","","38.954","","","","","","","","","","","","","","","1027041",
"[20236]","CONVERGENT MARGIN","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / ARGENTINA","MENDOZA","-32.6928","-32.6928","-68.9967","-68.9967","SAE","","","s_US 2 [20236]","PYROXENITE [20236]","","","","","","","","","PLU","","","","","WR [20236] ","38.5","2.27","","4.95","","","","22.68","15.5","10.1","0.22","","0.7","0.13","2.58","","","","","","","","","","","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","554","89","","","66.4","39","187","110","16","","","","","35.1","476","20.3","616","0","","","","","","","","2.1","0.13","","","","637","25.2","63.6","8.76","47","10.7","3.19","10.1","1.03","5.39","0.79","1.97","0.2","1.3","0.17","2.7","0.26","","","","","","","","0.13","15","0","1.48","0.31","","","","","","","","","","","","","","","","","","","","","","","","","1027042",
"[20202]","INTRAPLATE VOLCANICS","AUSTRALIA / HALLS CREEK OROGEN / WESTERN AUSTRALIA / CUMMINS RANGE CARBONATITE COMPLEX","KIMBERLEY REGION","-19.29","-19.29","127.17","127.17","SAE","","","s_966 [20202]","PYROXENITE [20202]","","","","PROTEROZOIC [20202]","","","","","PLU","","","","","WR [20202] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5","1008","","","","","","","","","","","","","","","","","","","","466.09","86.65","","","","","","","","","","","","","","","","","","","","","","","","0.511424","","","0.70635","","","","","","","","","","","","","","","","","","","","","1029608",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2088","30.2088","115.4958","115.4958","SAE","","","s_04QC02 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","45.91","0.26","","2.02","","","","12.76","9.77","21.54","0.19","","0.02","","0.004","","","","","","","","","","","","","0.029","","","5.87","","","","","","","","","","","","","","0.185","0.087","","","","","","","","","","","","","61.6","","146","1764","","","93.4","395","96.2","67.4","3.74","","","","","0.164","18.6","8.36","9.64","0.15","0.125","","","","","0.061","","0.198","","","","0.009","11.9","1.93","3.9","0.723","3.87","1.23","0.257","1.44","0.248","1.52","0.288","0.775","0.102","0.62","0.09","0.38","0.019","","","","","","","","","1.21","","0.044","0.028","","","","","","","","","","","","","","","","","","","","","","","","","1030567",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2094","30.2094","115.4953","115.4953","SAE","","","s_04QC03 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","39.68","0.06","","0.49","","","","21.77","0.06","27.25","0.104","","0.01","","0.004","","","","","","","","","","","","","0.022","","","8.01","","","","","","","","","","","","","","0.21","0.081","","","","","","","","","","","","","6.04","","18.8","196","","","141","573","71.8","79.8","1.6","","","","","0.106","1.95","1.27","1.8","0.203","0.119","","","","","0.023","","0.103","","","","0.044","71.9","0.554","1.32","0.194","0.907","0.211","0.045","0.189","0.032","0.19","0.035","0.109","0.016","0.117","0.017","0.057","0.021","","","","","","","","","1.35","","0.036","0.015","","","","","","","","","","","","","","","","","","","","","","","","","1030568",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2097","30.2097","115.495","115.495","SAE","","","s_04QC04 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","47.69","0.19","","5.72","","","","9.02","10.78","19.73","0.168","","0.04","","0.004","","","","","","","","","","","","","0.029","","","5.36","","","","","","","","","","","","","","3.56","0.078","","","","","","","","","","","","","60.1","","144","1385","","","78","333","32.5","62.3","5.17","","","","","0.409","23.1","5.1","4.76","0.079","0.139","","","","","0.043","","0.205","","","","0.023","9.23","0.874","1.8","0.403","2.23","0.774","0.224","0.942","0.165","1.03","0.197","0.548","0.076","0.464","0.057","0.22","0.017","","","","","","","","","25.2","","0.049","0.027","","","","","","","","","","","","","","","","","","","","","","","","","1030569",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2071","30.2071","115.4972","115.4972","SAE","","","s_04QC05 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","52.14","0.28","","2.32","","","","8.91","12.36","18.91","0.18","","0.02","0.07","0.003","","","","","","","","","","","","","0.025","","","3.72","","","","","","","","","","","","","","1.47","0.277","","","","","","","","","","","","","71","","159","1956","","","73.9","373","15.9","66.6","4.33","","","","","0.238","33.3","9.87","13.7","0.218","0.089","","","","","0.09","","0.26","","","","0.009","29.2","1.38","4.26","0.805","4.61","1.58","0.289","1.8","0.324","1.96","0.345","0.982","0.14","0.795","0.107","0.54","0.02","","","","","","","","","2.23","","0.048","0.012","","","","","","","","","","","","","","","","","","","","","","","","","1030570",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2059","30.2059","115.4993","115.4993","SAE","","","s_04QC06 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","45.53","0.24","","1.86","","","","12.84","8.75","22.52","0.182","","0.02","0.07","0.004","","","","","","","","","","","","","0.024","","","6.41","","","","","","","","","","","","","","0.165","0.08","","","","","","","","","","","","","60.6","","153","1761","","","85.8","443","22.2","75.4","3.73","","","","","0.145","18","8.2","10.9","0.132","0.118","","","","","0.058","","0.141","","","","0.009","48.5","2.42","2.77","0.677","3.75","1.07","0.189","1.43","0.233","1.43","0.28","0.797","0.102","0.639","0.099","0.42","0.025","","","","","","","","","1.48","","0.06","0.009","","","","","","","","","","","","","","","","","","","","","","","","","1030571",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2079","30.2079","115.5008","115.5008","SAE","","","s_04QC07 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","44.53","0.26","","3.8","","","","13.88","9.42","21.14","0.193","","0.02","","0.004","","","","","","","","","","","","","0.028","","","5.05","","","","","","","","","","","","","","3.36","0.138","","","","","","","","","","","","","44.1","","184","1919","","","123","682","34.9","85.3","6.33","","","","","0.299","41.2","6.72","11","0.456","0.061","","","","","0.033","","0.266","","","","0.033","12.5","1.85","3.15","0.609","3.27","0.951","0.301","1.21","0.201","1.24","0.24","0.687","0.086","0.565","0.094","0.38","0.033","","","","","","","","","1.24","","0.18","0.059","","","","","","","","","","","","","","","","","","","","","","","","","1030572",
"[20206]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / JIANGXI PROVINCE","QICHUN AREA","30.2175","30.2175","115.4901","115.4901","SAE","","","s_04QC10 [20206]","PYROXENITE [20206]","","","","PROTEROZOIC [20206]","","","","","PLU","","","","","WR [20206] ","47.41","0.2","","1.72","","","","10.44","8.37","23.68","0.156","","0.02","0.03","0.005","","","","","","","","","","","","","0.022","","","6.68","","","","","","","","","","","","","","0.964","0.077","","","","","","","","","","","","","59.4","","115","2368","","","89.8","534","11.8","63.4","2.83","","","","","0.17","12.3","4.92","8.11","0.215","0.106","","","","","0.037","","0.162","","","","0.011","16.8","1.19","2.73","0.504","2.48","0.775","0.219","0.94","0.159","1.02","0.18","0.538","0.073","0.453","0.062","0.3","0.028","","","","","","","","","0.747","","0.065","0.019","","","","","","","","","","","","","","","","","","","","","","","","","1030573",
